u	v	score
ENSG00000000419	ENSG00000124217	0.7142325014588062
ENSG00000001626	ENSG00000021826	0.8938346993628973
ENSG00000001626	ENSG00000066230	0.8192606946897926
ENSG00000001626	ENSG00000070019	0.9745815743631967
ENSG00000001626	ENSG00000073067	0.8458909450336952
ENSG00000001626	ENSG00000074276	0.8867537246416997
ENSG00000001626	ENSG00000079112	0.9862435622166555
ENSG00000001626	ENSG00000091138	0.9881680609187491
ENSG00000001626	ENSG00000095539	0.7283362457330022
ENSG00000001626	ENSG00000101076	0.9831651240997886
ENSG00000001626	ENSG00000104537	0.9116338723119854
ENSG00000001626	ENSG00000113303	0.9745433257303419
ENSG00000001626	ENSG00000113722	0.9215848219087318
ENSG00000001626	ENSG00000118972	0.9416634756679351
ENSG00000001626	ENSG00000119042	0.744475781126086
ENSG00000001626	ENSG00000121067	0.788776256793126
ENSG00000001626	ENSG00000127831	0.966362111622522
ENSG00000001626	ENSG00000135100	0.9840752194852701
ENSG00000001626	ENSG00000138308	0.9813547277488436
ENSG00000001626	ENSG00000143167	0.9599914502842036
ENSG00000001626	ENSG00000144852	0.9728211178098165
ENSG00000001626	ENSG00000148584	0.7435884767689029
ENSG00000001626	ENSG00000151577	0.8443132181970744
ENSG00000001626	ENSG00000153086	0.9570086376822086
ENSG00000001626	ENSG00000156006	0.9452883880496681
ENSG00000001626	ENSG00000159184	0.8415173627931678
ENSG00000001626	ENSG00000160867	0.7791243137422132
ENSG00000001626	ENSG00000163586	0.9780383956052455
ENSG00000001626	ENSG00000164270	0.8114919395032569
ENSG00000001626	ENSG00000164749	0.9547975143249982
ENSG00000001626	ENSG00000166866	0.9801259486788784
ENSG00000001626	ENSG00000168955	0.9694818332650936
ENSG00000001626	ENSG00000170703	0.7808478830120821
ENSG00000001626	ENSG00000172572	0.8755634569278195
ENSG00000001626	ENSG00000173597	0.7539660343512529
ENSG00000001626	ENSG00000173702	0.9166797488756392
ENSG00000001626	ENSG00000178623	0.7740254715914274
ENSG00000001626	ENSG00000183091	0.9310893417209128
ENSG00000001626	ENSG00000188211	0.9017991172775603
ENSG00000001626	ENSG00000204128	0.7608476336150909
ENSG00000001626	ENSG00000257594	0.8789433304704395
ENSG00000001626	ENSG00000274211	0.7435738396432912
ENSG00000001629	ENSG00000001631	0.7939226831249074
ENSG00000001629	ENSG00000138081	0.7067574236451547
ENSG00000001629	ENSG00000164597	0.7089072455742007
ENSG00000001629	ENSG00000187257	0.710021022558406
ENSG00000001629	ENSG00000196367	0.7156369592441605
ENSG00000001629	ENSG00000263001	0.7084552986321412
ENSG00000001631	ENSG00000048405	0.7425835312994069
ENSG00000001631	ENSG00000105793	0.7151790357670297
ENSG00000001631	ENSG00000127914	0.7490867088073079
ENSG00000001631	ENSG00000127980	0.7081517741132936
ENSG00000001631	ENSG00000135164	0.7676590623852619
ENSG00000001631	ENSG00000183808	0.7208751957079058
ENSG00000001631	ENSG00000187257	0.7743117411466031
ENSG00000001631	ENSG00000234545	0.7322885776210712
ENSG00000001631	ENSG00000263001	0.7315068602971923
ENSG00000002330	ENSG00000167985	0.7658874090628108
ENSG00000002330	ENSG00000172922	0.7232987085589335
ENSG00000002330	ENSG00000174276	0.7204292460387802
ENSG00000002330	ENSG00000175756	0.7000653842899873
ENSG00000002330	ENSG00000213465	0.7116976291993874
ENSG00000002549	ENSG00000068079	0.7233506376592234
ENSG00000002549	ENSG00000089692	0.7642009200682305
ENSG00000002549	ENSG00000096996	0.7289006504109643
ENSG00000002549	ENSG00000101082	0.7543297144780703
ENSG00000002549	ENSG00000101347	0.7194035789952977
ENSG00000002549	ENSG00000102524	0.7726879101968012
ENSG00000002549	ENSG00000111537	0.7554001181314711
ENSG00000002549	ENSG00000115415	0.7720097762798324
ENSG00000002549	ENSG00000117560	0.7088737507023781
ENSG00000002549	ENSG00000125347	0.756751662135253
ENSG00000002549	ENSG00000134470	0.7229003321240719
ENSG00000002549	ENSG00000135077	0.7339483964636119
ENSG00000002549	ENSG00000140105	0.7801409459229374
ENSG00000002549	ENSG00000153563	0.7106942800872633
ENSG00000002549	ENSG00000156587	0.758336164006893
ENSG00000002549	ENSG00000160791	0.739170716831769
ENSG00000002549	ENSG00000168062	0.706124660804926
ENSG00000002549	ENSG00000169245	0.7600880151125212
ENSG00000002549	ENSG00000169248	0.7106612452174624
ENSG00000002746	ENSG00000064393	0.7265658460570656
ENSG00000002746	ENSG00000115232	0.7416832887244662
ENSG00000002746	ENSG00000124491	0.700962926440105
ENSG00000002746	ENSG00000142494	0.7258002252568394
ENSG00000002746	ENSG00000151012	0.7009675470556304
ENSG00000002746	ENSG00000163554	0.7181114102249021
ENSG00000002746	ENSG00000167941	0.7395168477256174
ENSG00000002746	ENSG00000169306	0.7052671422236375
ENSG00000002746	ENSG00000181220	0.7014299521840419
ENSG00000002746	ENSG00000185053	0.7353800407327008
ENSG00000002746	ENSG00000198431	0.7834569380346765
ENSG00000003756	ENSG00000010322	0.8091554974492097
ENSG00000003756	ENSG00000114857	0.752532288588338
ENSG00000003987	ENSG00000186919	0.7691151281012298
ENSG00000004142	ENSG00000244045	0.7987624775454879
ENSG00000004399	ENSG00000182578	0.715894043787579
ENSG00000004700	ENSG00000047621	0.7088268948785736
ENSG00000004700	ENSG00000111711	0.7042511579751352
ENSG00000004776	ENSG00000022267	0.8830320433742244
ENSG00000004776	ENSG00000054938	0.7728001172494284
ENSG00000004776	ENSG00000061455	0.7497801336066113
ENSG00000004776	ENSG00000065534	0.8591173171622544
ENSG00000004776	ENSG00000068976	0.9497545781961075
ENSG00000004776	ENSG00000072163	0.8955161745782425
ENSG00000004776	ENSG00000072195	0.7787352910280626
ENSG00000004776	ENSG00000075073	0.9000535494826766
ENSG00000004776	ENSG00000077157	0.8251535261195467
ENSG00000004776	ENSG00000079308	0.8565737001630506
ENSG00000004776	ENSG00000095637	0.851581599311129
ENSG00000004776	ENSG00000100448	0.7026661994527826
ENSG00000004776	ENSG00000101335	0.9200612272420662
ENSG00000004776	ENSG00000101605	0.911141206422833
ENSG00000004776	ENSG00000103710	0.796000569206095
ENSG00000004776	ENSG00000107796	0.8877814028375209
ENSG00000004776	ENSG00000108823	0.8828902539598981
ENSG00000004776	ENSG00000108924	0.846891136016703
ENSG00000004776	ENSG00000113196	0.720379329072657
ENSG00000004776	ENSG00000118407	0.7761989387510853
ENSG00000004776	ENSG00000118729	0.8968538332806646
ENSG00000004776	ENSG00000122786	0.7190055328461235
ENSG00000004776	ENSG00000128591	0.7907696778252727
ENSG00000004776	ENSG00000129116	0.7100524692156727
ENSG00000004776	ENSG00000130176	0.9309842890849795
ENSG00000004776	ENSG00000132840	0.8777005978679815
ENSG00000004776	ENSG00000134769	0.7735507465684919
ENSG00000004776	ENSG00000135424	0.8048295203643631
ENSG00000004776	ENSG00000137124	0.7252693955428753
ENSG00000004776	ENSG00000137726	0.8120364249816415
ENSG00000004776	ENSG00000140416	0.8154264702129115
ENSG00000004776	ENSG00000140682	0.714054617478571
ENSG00000004776	ENSG00000145936	0.8777563979061405
ENSG00000004776	ENSG00000148411	0.7393012043613884
ENSG00000004776	ENSG00000149591	0.864660488969717
ENSG00000004776	ENSG00000149596	0.7886754142983445
ENSG00000004776	ENSG00000150764	0.7741779232797487
ENSG00000004776	ENSG00000152583	0.8501873254012067
ENSG00000004776	ENSG00000154553	0.7672816215543996
ENSG00000004776	ENSG00000156113	0.7403251613162365
ENSG00000004776	ENSG00000158445	0.7980472807726265
ENSG00000004776	ENSG00000159176	0.9211582282829802
ENSG00000004776	ENSG00000159251	0.8831608409097836
ENSG00000004776	ENSG00000162614	0.8061095818485595
ENSG00000004776	ENSG00000163017	0.898379611005273
ENSG00000004776	ENSG00000164107	0.7825033723967056
ENSG00000004776	ENSG00000165410	0.7913182242245453
ENSG00000004776	ENSG00000165966	0.7390951196394292
ENSG00000004776	ENSG00000166831	0.901138621023473
ENSG00000004776	ENSG00000167641	0.8615538387489343
ENSG00000004776	ENSG00000168734	0.7180568659683095
ENSG00000004776	ENSG00000172260	0.7036634522107331
ENSG00000004776	ENSG00000172348	0.7795656297471922
ENSG00000004776	ENSG00000172403	0.839435769169671
ENSG00000004776	ENSG00000173641	0.8491555371341349
ENSG00000004776	ENSG00000175084	0.9157420561101786
ENSG00000004776	ENSG00000175899	0.7697101519708397
ENSG00000004776	ENSG00000182253	0.9299361528018613
ENSG00000004776	ENSG00000183036	0.8769287276638837
ENSG00000004776	ENSG00000183963	0.8690837752496802
ENSG00000004776	ENSG00000188778	0.8849752934670799
ENSG00000004776	ENSG00000188783	0.7158877389418628
ENSG00000004776	ENSG00000196557	0.7975484648376882
ENSG00000004776	ENSG00000196924	0.7100414460239721
ENSG00000004776	ENSG00000197256	0.7990500699990688
ENSG00000004776	ENSG00000197361	0.8943557255631688
ENSG00000004776	ENSG00000198467	0.8409278638357498
ENSG00000004776	ENSG00000198523	0.8341042101606901
ENSG00000004776	ENSG00000198932	0.7059427480114588
ENSG00000004776	ENSG00000240583	0.751897029936898
ENSG00000004799	ENSG00000112214	0.7037355931778831
ENSG00000004897	ENSG00000136504	0.7041371587668245
ENSG00000004975	ENSG00000129245	0.765861361481455
ENSG00000004975	ENSG00000170037	0.7382298261998136
ENSG00000005075	ENSG00000099795	0.733752994042086
ENSG00000005075	ENSG00000104979	0.7542913327852406
ENSG00000005075	ENSG00000106400	0.8670326199212123
ENSG00000005075	ENSG00000130332	0.7070635123733223
ENSG00000005075	ENSG00000140264	0.7040485117049317
ENSG00000005075	ENSG00000160813	0.7475509398433179
ENSG00000005075	ENSG00000162910	0.7080319919390964
ENSG00000005075	ENSG00000164896	0.7110158268997467
ENSG00000005075	ENSG00000174886	0.7450453880456928
ENSG00000005075	ENSG00000241468	0.7117232034109036
ENSG00000005100	ENSG00000167721	0.7046654374328303
ENSG00000005194	ENSG00000102978	0.7410171590877208
ENSG00000005471	ENSG00000106952	0.7016109195148794
ENSG00000005471	ENSG00000115935	0.7068883694383157
ENSG00000005810	ENSG00000107290	0.7115476180737744
ENSG00000005844	ENSG00000009790	0.8327043920983964
ENSG00000005844	ENSG00000010610	0.7493597806407937
ENSG00000005844	ENSG00000010671	0.7752839934771455
ENSG00000005844	ENSG00000013725	0.881632409653135
ENSG00000005844	ENSG00000028137	0.717635908482006
ENSG00000005844	ENSG00000043462	0.8304252704272742
ENSG00000005844	ENSG00000048740	0.715313661064102
ENSG00000005844	ENSG00000049249	0.7830953969058279
ENSG00000005844	ENSG00000066294	0.7480459841250214
ENSG00000005844	ENSG00000069424	0.7418695667961579
ENSG00000005844	ENSG00000073861	0.7069250892603199
ENSG00000005844	ENSG00000076662	0.8300191733751627
ENSG00000005844	ENSG00000096996	0.7441230811360255
ENSG00000005844	ENSG00000100351	0.8673046062702685
ENSG00000005844	ENSG00000101082	0.8163076453194524
ENSG00000005844	ENSG00000101445	0.7652489311656504
ENSG00000005844	ENSG00000102245	0.7910879817308235
ENSG00000005844	ENSG00000102524	0.7445874129977695
ENSG00000005844	ENSG00000102879	0.7109915239884602
ENSG00000005844	ENSG00000103522	0.7867695557048342
ENSG00000005844	ENSG00000105639	0.8414227094642148
ENSG00000005844	ENSG00000106948	0.8269048450089472
ENSG00000005844	ENSG00000106952	0.8146668973751223
ENSG00000005844	ENSG00000108798	0.7473371660590172
ENSG00000005844	ENSG00000109943	0.760490103017861
ENSG00000005844	ENSG00000110324	0.8677755781327317
ENSG00000005844	ENSG00000110448	0.7314227849865294
ENSG00000005844	ENSG00000110876	0.7178588114240091
ENSG00000005844	ENSG00000110934	0.9047146536229586
ENSG00000005844	ENSG00000111796	0.714196953481574
ENSG00000005844	ENSG00000113088	0.831308290596726
ENSG00000005844	ENSG00000113263	0.9098392536525014
ENSG00000005844	ENSG00000115085	0.750148607761529
ENSG00000005844	ENSG00000115165	0.8006842001000887
ENSG00000005844	ENSG00000115935	0.856173269910131
ENSG00000005844	ENSG00000115956	0.7608893552799652
ENSG00000005844	ENSG00000116824	0.853305486535084
ENSG00000005844	ENSG00000117091	0.7455004961708331
ENSG00000005844	ENSG00000117215	0.7983317332542608
ENSG00000005844	ENSG00000121966	0.76148778163957
ENSG00000005844	ENSG00000122188	0.8011077006279768
ENSG00000005844	ENSG00000122224	0.7832043184003561
ENSG00000005844	ENSG00000123329	0.8647634348796833
ENSG00000005844	ENSG00000123338	0.7392669254638755
ENSG00000005844	ENSG00000125910	0.7263563485435226
ENSG00000005844	ENSG00000126860	0.7283066601912949
ENSG00000005844	ENSG00000126882	0.7269662378509143
ENSG00000005844	ENSG00000134460	0.7192242964382759
ENSG00000005844	ENSG00000134516	0.8852137734564943
ENSG00000005844	ENSG00000135077	0.7385098545447485
ENSG00000005844	ENSG00000136286	0.759992573487482
ENSG00000005844	ENSG00000137101	0.7457066377320668
ENSG00000005844	ENSG00000137265	0.7103671030321804
ENSG00000005844	ENSG00000138684	0.7506907475811493
ENSG00000005844	ENSG00000138964	0.8145859269638279
ENSG00000005844	ENSG00000139193	0.8222692370697147
ENSG00000005844	ENSG00000139626	0.7176526350948007
ENSG00000005844	ENSG00000141506	0.747988755279787
ENSG00000005844	ENSG00000141968	0.7659817901317427
ENSG00000005844	ENSG00000142347	0.7689148963607915
ENSG00000005844	ENSG00000143119	0.7968247081591942
ENSG00000005844	ENSG00000143851	0.7686547343877388
ENSG00000005844	ENSG00000146285	0.7106991602709845
ENSG00000005844	ENSG00000149781	0.7136265611517475
ENSG00000005844	ENSG00000150637	0.7233674609773295
ENSG00000005844	ENSG00000151702	0.7330408181584507
ENSG00000005844	ENSG00000153563	0.7631272295658196
ENSG00000005844	ENSG00000155629	0.728743071878775
ENSG00000005844	ENSG00000155926	0.7951823665394552
ENSG00000005844	ENSG00000160185	0.9025958245994808
ENSG00000005844	ENSG00000160219	0.8028527029994904
ENSG00000005844	ENSG00000160255	0.7644034618365406
ENSG00000005844	ENSG00000160654	0.9127244702488816
ENSG00000005844	ENSG00000160791	0.8104260500940228
ENSG00000005844	ENSG00000160856	0.7238493154851534
ENSG00000005844	ENSG00000162511	0.7330321769142237
ENSG00000005844	ENSG00000162739	0.9170301544462676
ENSG00000005844	ENSG00000163219	0.7989758642982134
ENSG00000005844	ENSG00000163519	0.8977118640989648
ENSG00000005844	ENSG00000163564	0.7692133096572991
ENSG00000005844	ENSG00000163600	0.7718702952673426
ENSG00000005844	ENSG00000164483	0.8088966345787749
