Term_ID	DB
path:hsa04068	KEGG
path:hsa05230	KEGG
path:hsa04662	KEGG
path:hsa05205	KEGG
path:hsa04010	KEGG
path:hsa05417	KEGG
path:hsa05167	KEGG
path:hsa04211	KEGG
path:hsa05220	KEGG
path:hsa04380	KEGG
path:hsa04151	KEGG
path:hsa04360	KEGG
path:hsa05163	KEGG
path:hsa05218	KEGG
path:hsa04933	KEGG
path:hsa05161	KEGG
path:hsa01522	KEGG
path:hsa04015	KEGG
path:hsa05223	KEGG
path:hsa05215	KEGG
path:hsa04150	KEGG
path:hsa05213	KEGG
path:hsa04310	KEGG
path:hsa04670	KEGG
path:hsa01521	KEGG
path:hsa04520	KEGG
path:hsa04722	KEGG
path:hsa04917	KEGG
path:hsa05231	KEGG
path:hsa04630	KEGG
path:hsa05202	KEGG
path:hsa04062	KEGG
path:hsa01524	KEGG
path:hsa05224	KEGG
path:hsa04218	KEGG
path:hsa05212	KEGG
path:hsa05226	KEGG
path:hsa04115	KEGG
path:hsa05225	KEGG
path:hsa04810	KEGG
path:hsa04210	KEGG
path:hsa04014	KEGG
path:hsa05210	KEGG
path:hsa05160	KEGG
path:hsa05214	KEGG
path:hsa05100	KEGG
path:hsa05166	KEGG
path:hsa05135	KEGG
path:hsa04660	KEGG
path:hsa04510	KEGG
path:hsa04935	KEGG
path:hsa04664	KEGG
path:hsa05211	KEGG
path:hsa04740	KEGG
