No.;Gene name;Score;Oncogene or Tumor Suppresson gene
2859;ZMYM4;0.000101347;#N/A
2860;HBA1;0.00010134;#N/A
2861;CSTF2;0.000101313;#N/A
2862;ADD1;0.000101286;#N/A
2863;PTPN13;0.000101269;x
2864;PTPN14;0.000101259;x
2865;TRAK2;0.000101201;#N/A
2866;SRPX;0.000101142;#N/A
2867;PLAGL1;0.000101119;#N/A
2868;FAM83D;0.000101117;#N/A
2869;FAT3;0.000101075;#N/A
2870;GRIP1;0.000101049;#N/A
2871;LRRFIP2;0.000101039;#N/A
2872;NDUFS2;0.000101027;#N/A
2873;CKM;0.000101012;#N/A
2874;AMOTL2;0.000100983;#N/A
2875;EIF4A1;0.000100921;#N/A
2876;RPL26;0.000100904;#N/A
2877;GPC3;0.000100876;x
2878;DAG1;0.000100874;#N/A
2879;SNRPG;0.000100826;#N/A
2880;EGR1;0.000100815;x
2881;GTPBP2;0.000100783;#N/A
2882;AFF4;0.000100751;x
2883;TRAIP;0.000100639;#N/A
2884;MYOT;0.000100626;#N/A
2885;KRT8;0.000100602;#N/A
2886;POLK;0.00010059;#N/A
2887;ZNF644;0.000100568;#N/A
2888;RABEP1;0.000100457;#N/A
2889;MEAF6;0.000100456;#N/A
2890;ACVR2B;0.000100452;#N/A
2891;CASC3;0.000100447;#N/A
2892;KLHL12;0.000100416;#N/A
2893;AHR;0.000100351;#N/A
2894;POM121;0.000100341;#N/A
2895;DVL1;0.000100162;#N/A
2896;IGBP1;0.000100147;#N/A
2897;SORL1;0.000100102;#N/A
2898;CDK5RAP2;0.000100095;#N/A
2899;WNT1;0.000100002;#N/A
2900;NDUFA10;1.00E-04;#N/A
2901;MLST8;1.00E-04;#N/A
2902;NFYA;9.99E-05;#N/A
2903;GRIN2C;9.99E-05;#N/A
2904;CIDEA;9.99E-05;#N/A
2905;GH2;9.99E-05;#N/A
2906;FBLN1;9.99E-05;#N/A
2907;FBLN2;9.98E-05;#N/A
2908;USP45;9.98E-05;#N/A
2909;SLC3A2;9.98E-05;#N/A
2910;CBLB;9.97E-05;#N/A
2911;ZFHX4;9.97E-05;#N/A
2912;POU3F2;9.97E-05;x
2913;FANCC;9.97E-05;x
2914;RUNX2;9.97E-05;#N/A
2915;ASPSCR1;9.97E-05;#N/A
2916;LSM14B;9.96E-05;#N/A
2917;CDKN2AIP;9.96E-05;#N/A
2918;TCL1B;9.95E-05;x
2919;S100A2;9.95E-05;#N/A
2920;NPLOC4;9.94E-05;#N/A
2921;FBXO15;9.94E-05;#N/A
2922;HCN1;9.93E-05;#N/A
2923;HADHA;9.93E-05;#N/A
2924;COPS8;9.93E-05;#N/A
2925;DKK1;9.93E-05;#N/A
2926;HNRNPR;9.92E-05;#N/A
2927;UBE2L6;9.92E-05;#N/A
2928;EXOSC7;9.92E-05;#N/A
2929;PABPC4;9.91E-05;#N/A
2930;CBR1;9.91E-05;#N/A
2931;SNX2;9.91E-05;#N/A
2932;RFX4;9.91E-05;#N/A
2933;PPM1G;9.91E-05;#N/A
2934;TRAF5;9.91E-05;x
2935;PLSCR4;9.90E-05;#N/A
2936;DTX2;9.90E-05;#N/A
2937;STON2;9.90E-05;#N/A
2938;SND1;9.90E-05;#N/A
2939;CCNJL;9.90E-05;#N/A
2940;ACACA;9.90E-05;#N/A
2941;DAPK3;9.90E-05;#N/A
2942;EMCN;9.89E-05;#N/A
2943;COL4A1;9.88E-05;#N/A
2944;USP25;9.88E-05;#N/A
2945;LGALS9C;9.88E-05;#N/A
2946;RASSF7;9.88E-05;#N/A
2947;ITGB3;9.87E-05;#N/A
2948;WDR20;9.87E-05;#N/A
2949;HBG2;9.86E-05;#N/A
2950;SF1;9.86E-05;#N/A
2951;SIPA1;9.86E-05;#N/A
2952;CHAF1B;9.86E-05;#N/A
2953;ZNF446;9.85E-05;#N/A
2954;TUBB8;9.85E-05;#N/A
2955;TLR1;9.85E-05;#N/A
2956;POLR2L;9.84E-05;#N/A
2957;MYEF2;9.84E-05;#N/A
2958;JUNB;9.84E-05;#N/A
2959;PDS5B;9.83E-05;x
2960;ZBTB33;9.83E-05;#N/A
2961;PPP6R1;9.82E-05;#N/A
2962;BBS1;9.82E-05;#N/A
2963;TK1;9.82E-05;#N/A
2964;GNB4;9.82E-05;#N/A
2965;ZNF219;9.82E-05;#N/A
2966;OGN;9.82E-05;#N/A
2967;LAT;9.82E-05;#N/A
2968;DVL3;9.81E-05;#N/A
2969;LRIF1;9.81E-05;#N/A
2970;MARK3;9.81E-05;#N/A
2971;PELP1;9.80E-05;#N/A
2972;ARHGEF2;9.80E-05;#N/A
2973;CCNH;9.80E-05;#N/A
2974;XAB2;9.80E-05;#N/A
2975;VDAC2;9.79E-05;#N/A
2976;OCIAD1;9.79E-05;#N/A
2977;ARG1;9.78E-05;#N/A
2978;PEX7;9.78E-05;#N/A
2979;IFT81;9.78E-05;#N/A
2980;PHLPP1;9.78E-05;x
2981;ACIN1;9.77E-05;#N/A
2982;IFI30;9.77E-05;#N/A
2983;KIFC3;9.77E-05;#N/A
2984;B3GALNT1;9.77E-05;#N/A
2985;SORBS3;9.76E-05;#N/A
2986;AHSA1;9.76E-05;#N/A
2987;THBS2;9.76E-05;#N/A
2988;CHAMP1;9.76E-05;#N/A
2989;MED25;9.75E-05;#N/A
2990;ANAPC7;9.74E-05;#N/A
2991;TRPV5;9.74E-05;#N/A
2992;MAD1L1;9.74E-05;#N/A
2993;PNKP;9.74E-05;#N/A
2994;NUP214;9.74E-05;x
2995;SF3A3;9.73E-05;#N/A
2996;CRABP2;9.73E-05;#N/A
2997;WDR62;9.73E-05;#N/A
2998;POMC;9.72E-05;#N/A
2999;BCL3;9.72E-05;x
3000;POLH;9.72E-05;#N/A
3001;VBP1;9.72E-05;#N/A
3002;NFE2L2;9.71E-05;x
3003;TSR1;9.71E-05;#N/A
3004;NBN;9.71E-05;x
3005;IGHA1;9.71E-05;#N/A
3006;SNX9;9.71E-05;#N/A
3007;BRCC3;9.71E-05;#N/A
3008;SPHKAP;9.71E-05;#N/A
3009;RCOR1;9.71E-05;#N/A
