No.;Gene name;Score;Oncogene or Tumor Suppresson gene
10952;MGARP;7.37E-07;#N/A
10953;AP5B1;7.36E-07;#N/A
10954;ESYT3;7.35E-07;#N/A
10955;NCEH1;7.33E-07;#N/A
10956;HDHD3;7.33E-07;#N/A
10957;FAM117A;7.31E-07;#N/A
10958;NQO2;7.30E-07;#N/A
10959;ALKBH4;7.28E-07;#N/A
10960;CMTM6;7.27E-07;#N/A
10961;KCNK3;7.26E-07;#N/A
10962;TBC1D24;7.25E-07;#N/A
10963;RNF135;7.25E-07;#N/A
10964;RUSC1;7.25E-07;#N/A
10965;UBXN8;7.18E-07;#N/A
10966;ATP5IF1;7.17E-07;#N/A
10967;NEBL;7.15E-07;#N/A
10968;TBC1D1;7.15E-07;#N/A
10969;CPZ;7.15E-07;#N/A
10970;CXADR;7.14E-07;#N/A
10971;SARS2;7.13E-07;#N/A
10972;PTBP2;7.13E-07;#N/A
10973;TRPT1;7.13E-07;#N/A
10974;HHIPL2;7.08E-07;#N/A
10975;C10orf90;7.06E-07;#N/A
10976;RNF19A;7.04E-07;#N/A
10977;CCNI;7.04E-07;#N/A
10978;ABHD16A;7.03E-07;#N/A
10979;CHCHD4;7.02E-07;#N/A
10980;CD177;7.01E-07;#N/A
10981;TRIM9;7.01E-07;#N/A
10982;TFF2;7.00E-07;#N/A
10983;DPH3;6.98E-07;#N/A
10984;CWC27;6.98E-07;#N/A
10985;ZBED9;6.98E-07;#N/A
10986;PDIK1L;6.97E-07;#N/A
10987;SLC25A30;6.96E-07;#N/A
10988;CCDC18;6.95E-07;#N/A
10989;PWP2;6.95E-07;#N/A
10990;TSC22D2;6.94E-07;#N/A
10991;LNX2;6.94E-07;#N/A
10992;TRIM47;6.94E-07;#N/A
10993;CINP;6.93E-07;#N/A
10994;ASB1;6.93E-07;#N/A
10995;ZCCHC7;6.93E-07;#N/A
10996;FLVCR1;6.92E-07;#N/A
10997;DENND1A;6.91E-07;#N/A
10998;HS6ST1;6.90E-07;#N/A
10999;ECT2L;6.90E-07;x
11000;AP3B2;6.89E-07;#N/A
11001;FBXO46;6.89E-07;#N/A
11002;SUSD1;6.87E-07;#N/A
11003;GOLPH3L;6.86E-07;#N/A
11004;RAB13;6.84E-07;#N/A
11005;NMD3;6.84E-07;#N/A
11006;RABL3;6.84E-07;#N/A
11007;LRRN4;6.83E-07;#N/A
11008;AQP5;6.83E-07;#N/A
11009;IQUB;6.83E-07;#N/A
11010;MFAP1;6.82E-07;#N/A
11011;AMMECR1;6.82E-07;#N/A
11012;TXNDC16;6.82E-07;#N/A
11013;SLC9A4;6.81E-07;#N/A
11014;YTHDF2;6.79E-07;#N/A
11015;GPN2;6.79E-07;#N/A
11016;C3orf62;6.77E-07;#N/A
11017;MYBPC1;6.77E-07;#N/A
11018;PCDH20;6.77E-07;#N/A
11019;PCDHGA11;6.77E-07;#N/A
11020;GPR108;6.77E-07;#N/A
11021;SECISBP2;6.74E-07;#N/A
11022;WDR46;6.74E-07;#N/A
11023;PPA1;6.74E-07;#N/A
11024;KIF3C;6.74E-07;#N/A
11025;RAB3D;6.73E-07;#N/A
11026;RGS9BP;6.72E-07;#N/A
