No.;Gene name;Score;Oncogene or Tumor Suppresson gene
3020;LGALS9C;9.83E-05;#N/A
3021;HAUS2;9.83E-05;#N/A
3022;SLC25A13;9.83E-05;#N/A
3023;EPHB1;9.83E-05;x
3024;SREK1;9.82E-05;#N/A
3025;FLT4;9.82E-05;x
3026;IFT81;9.82E-05;#N/A
3027;APOH;9.82E-05;#N/A
3028;VPS35;9.82E-05;#N/A
3029;RBMS3;9.82E-05;#N/A
3030;CCNH;9.81E-05;#N/A
3031;FGFR4;9.81E-05;x
3032;NFE2L2;9.81E-05;x
3033;DNAJB5;9.81E-05;#N/A
3034;XRN2;9.81E-05;#N/A
3035;RPLP1;9.81E-05;#N/A
3036;UBR3;9.81E-05;#N/A
3037;DTL;9.80E-05;#N/A
3038;ANAPC5;9.80E-05;#N/A
3039;ANAPC7;9.80E-05;#N/A
3040;PGRMC1;9.80E-05;#N/A
3041;LAMB3;9.80E-05;#N/A
3042;RCN2;9.80E-05;#N/A
3043;RBM14;9.79E-05;#N/A
3044;PDHB;9.79E-05;#N/A
3045;EXOSC7;9.77E-05;#N/A
3046;ATXN2;9.77E-05;x
3047;TMED10;9.77E-05;#N/A
3048;MYH7;9.77E-05;#N/A
3049;KIF3A;9.77E-05;#N/A
3050;ALMS1;9.76E-05;#N/A
3051;LIMK2;9.76E-05;#N/A
3052;TTLL6;9.76E-05;#N/A
3053;HELLS;9.75E-05;#N/A
3054;TBXA2R;9.75E-05;#N/A
3055;KRT85;9.75E-05;#N/A
3056;EPHA3;9.75E-05;x
3057;MRPS2;9.75E-05;#N/A
3058;PIK3R4;9.74E-05;#N/A
3059;HPX;9.74E-05;#N/A
3060;RPL21;9.74E-05;#N/A
3061;SND1;9.74E-05;#N/A
3062;PHLPP1;9.74E-05;x
3063;DDX39B;9.74E-05;#N/A
3064;NELL2;9.73E-05;#N/A
3065;TACR1;9.73E-05;#N/A
3066;HMGB2;9.72E-05;#N/A
3067;TAF11;9.72E-05;#N/A
3068;TFRC;9.72E-05;#N/A
3069;BBS1;9.72E-05;#N/A
3070;CELF2;9.71E-05;#N/A
3071;AIMP2;9.71E-05;#N/A
3072;FAM189B;9.71E-05;#N/A
3073;BAK1;9.71E-05;#N/A
3074;MAPK10;9.71E-05;#N/A
3075;SP7;9.71E-05;#N/A
3076;PTPRJ;9.71E-05;#N/A
3077;ERO1B;9.71E-05;#N/A
3078;LHX6;9.71E-05;#N/A
3079;TRIP12;9.70E-05;#N/A
3080;RCHY1;9.70E-05;#N/A
3081;NEGR1;9.70E-05;#N/A
3082;LTF;9.70E-05;#N/A
3083;LRIF1;9.69E-05;#N/A
3084;MID2;9.68E-05;#N/A
3085;WDR62;9.68E-05;#N/A
3086;BRD2;9.68E-05;#N/A
3087;PLK4;9.66E-05;#N/A
3088;NDUFB10;9.66E-05;#N/A
3089;FBXW5;9.66E-05;#N/A
3090;APEX1;9.66E-05;#N/A
3091;MRGBP;9.66E-05;#N/A
3092;ASCL2;9.66E-05;#N/A
3093;AKAP5;9.65E-05;#N/A
3094;KAT7;9.65E-05;x
3095;TOR1AIP1;9.65E-05;#N/A
3096;DSTYK;9.65E-05;#N/A
3097;SEL1L;9.65E-05;#N/A
3098;AKR1B10;9.64E-05;#N/A
3099;GIP;9.64E-05;#N/A
