No.;Gene name;Score;Oncogene or Tumor Suppresson gene
186;CEBPA;0.00058958;x
187;MC4R;0.000587678;#N/A
188;NUP153;0.000583779;#N/A
189;CSNK2A1;0.000580108;#N/A
190;SPOP;0.000578523;x
191;PDGFRB;0.00057806;x
192;TTI1;0.000575908;#N/A
193;CCNA2;0.000573198;#N/A
194;HIPK2;0.000572627;#N/A
195;SKP1;0.000571778;#N/A
196;CBX2;0.000571146;#N/A
197;CUL3;0.000568406;x
198;HNRNPU;0.000567594;#N/A
199;RBBP7;0.000566512;#N/A
200;ZFR;0.000560436;#N/A
201;GRIN2A;0.000559646;x
202;CSNK2A2;0.00055908;#N/A
203;CRK;0.000557345;#N/A
204;TERF1;0.000556805;#N/A
205;RNF2;0.000556761;#N/A
206;KAT5;0.000556254;#N/A
207;HSPA8;0.000555965;#N/A
208;FAT4;0.000554621;#N/A
209;NCKAP1;0.000553019;#N/A
210;MAML2;0.000551967;#N/A
211;FGFR3;0.000550728;x
212;ZNF292;0.000550621;x
213;MATK;0.000548806;#N/A
214;ITCH;0.000548574;#N/A
215;MAPK8;0.000547461;#N/A
216;RPL10;0.000547454;#N/A
217;LYN;0.000547388;x
218;RUVBL2;0.00054681;#N/A
219;HNRNPK;0.000544823;#N/A
220;DLG4;0.000542613;#N/A
221;MED1;0.00054048;#N/A
222;MYH9;0.000537541;#N/A
223;BTRC;0.000535115;#N/A
224;KIT;0.000532872;x
225;TRIM28;0.000531368;#N/A
226;KDM6A;0.000530935;x
227;CDK9;0.000527676;#N/A
228;PPP1CB;0.000524918;#N/A
229;RELN;0.000523862;#N/A
230;PRKCA;0.000522827;#N/A
231;HNF1A;0.000521878;x
232;TCF4;0.000520666;#N/A
233;SPTLC1;0.000518061;#N/A
234;RIPK4;0.000515786;#N/A
235;PPP1CC;0.000515106;#N/A
236;PPP1CA;0.00051333;#N/A
237;PTPRC;0.000510658;#N/A
238;JUNB;0.000509671;#N/A
239;RNF213;0.000508622;#N/A
240;SALL4;0.000508235;#N/A
