No.;Gene name;Score;Oncogene or Tumor Suppresson gene
179;ZNF507;0.000436912;#N/A
180;EMSY;0.000436719;x
181;PKN2;0.000436477;#N/A
182;TRAPPC8;0.000436466;#N/A
183;CFTR;0.000434279;#N/A
184;ILK;0.000434208;#N/A
185;RNF169;0.000434148;#N/A
186;TNFRSF1B;0.000433722;#N/A
187;PRPF4B;0.000433417;#N/A
188;ZNF644;0.000433291;#N/A
189;ANAPC11;0.000431452;#N/A
190;TMF1;0.000429973;#N/A
191;TCF12;0.000428806;#N/A
192;HSPA8;0.000428609;#N/A
193;UBXN7;0.000427637;#N/A
194;STAG2;0.00042663;x
195;POLR2I;0.000426592;#N/A
196;NSD1;0.000425553;x
197;ANKRD17;0.000425382;#N/A
198;MGA;0.000425075;x
199;SNRPD2;0.000424757;#N/A
200;MED23;0.000423966;#N/A
201;ZC3H14;0.00042292;#N/A
202;PLK1;0.000422458;#N/A
203;TRIM33;0.000421802;#N/A
204;RIF1;0.000421297;#N/A
205;ADAM17;0.000420895;#N/A
206;RELA;0.000418717;#N/A
207;CNOT1;0.000418037;#N/A
208;YWHAG;0.000417616;#N/A
209;HEATR5B;0.000417378;#N/A
210;ZNF148;0.000416989;#N/A
211;MYH9;0.000416064;#N/A
212;HSP90AB1;0.00041522;#N/A
213;NUFIP2;0.00041446;#N/A
214;RBPMS;0.000414281;#N/A
215;NDUFB7;0.000414044;#N/A
216;PTPN4;0.000413524;#N/A
217;TIMM13;0.000410253;#N/A
218;TSR3;0.000409884;#N/A
219;GADD45GIP1;0.00040891;#N/A
220;RFXANK;0.000408297;#N/A
221;EPC2;0.000407484;#N/A
222;CRYBG3;0.000406852;#N/A
223;TMOD3;0.000406743;#N/A
224;HERC2;0.000406112;#N/A
225;TERF2IP;0.000405605;#N/A
226;CBX5;0.000404848;#N/A
227;HERC1;0.000402641;#N/A
228;FBXW11;0.000402262;#N/A
229;NUP160;0.000401804;#N/A
230;ARFGEF2;0.000401028;#N/A
231;LSM7;0.000400701;#N/A
232;MDM2;0.000399867;x
233;CAND1;0.0003998;#N/A
234;ARHGEF12;0.000398577;x
235;HSPBP1;0.000398002;#N/A
236;EEA1;0.000397468;#N/A
237;USP24;0.000396983;#N/A
238;MACF1;0.000396932;#N/A
239;KDM5A;0.000395918;x
240;APC;0.000395233;x
241;MRPL28;0.000394891;#N/A
242;STX17;0.000394796;#N/A
243;PIH1D1;0.000394586;#N/A
244;EWSR1;0.000393593;x
245;MYO9A;0.000392974;#N/A
246;SPEN;0.000392845;x
247;RB1;0.000392004;x
248;H2AX;0.000391973;#N/A
249;FYN;0.000391475;x
250;RPS19BP1;0.000391374;#N/A
251;CAV1;0.000391353;#N/A
252;NAA10;0.000391287;#N/A
253;BBX;0.000391208;#N/A
254;DNAJB14;0.000391073;#N/A
255;SYNCRIP;0.000390988;#N/A
256;JUN;0.000390926;x
257;KLHL11;0.000390598;#N/A
258;GIT2;0.000388647;#N/A
259;ALS2;0.000388213;#N/A
260;IKBKG;0.00038661;#N/A
261;HNRNPA1;0.000386478;#N/A
262;RAPGEF2;0.000386201;#N/A
263;DIP2B;0.000385503;#N/A
264;SMC3;0.00038548;x
265;MDFI;0.000385066;#N/A
266;ZBTB11;0.000385052;#N/A
267;UBE4A;0.000384657;#N/A
268;FER;0.000384564;#N/A
269;SMAD5;0.000384407;#N/A
270;BRWD3;0.000383954;#N/A
271;GPATCH8;0.00038365;#N/A
272;UBR4;0.000382863;#N/A
273;PSMC3;0.000382166;#N/A
274;ZNF41;0.000381931;#N/A
275;MPDZ;0.000381813;#N/A
276;POLK;0.000381016;#N/A
277;COMMD4;0.000380268;#N/A
278;UXT;0.000380252;#N/A
279;NCKAP1;0.000379433;#N/A
280;CTR9;0.000379249;x
281;CCDC124;0.000379068;#N/A
282;GNA13;0.000378284;x
283;UBE2M;0.00037825;#N/A
284;ROCK1;0.000378057;#N/A
285;GOLT1B;0.000377971;#N/A
286;SRC;0.000377674;x
287;DDX46;0.000377512;#N/A
288;CAPZA2;0.000377494;#N/A
289;PPP1CA;0.000377165;#N/A
290;COX6B1;0.000376965;#N/A
291;ARID2;0.00037675;x
292;SF3B5;0.00037623;#N/A
293;ARNT;0.000376094;#N/A
294;CEP97;0.000376007;#N/A
295;MTR;0.000375904;#N/A
296;CCDC12;0.000375423;#N/A
297;FOXJ3;0.000374832;#N/A
298;CCNK;0.000374135;#N/A
299;UBR3;0.000374122;#N/A
300;MRPL52;0.000373856;#N/A
301;TSSC4;0.000372092;#N/A
302;RICTOR;0.000371671;x
303;RFX7;0.000371345;#N/A
304;EIF2AK2;0.000370549;#N/A
305;UHRF1BP1;0.000370422;#N/A
306;MRPS34;0.000369925;#N/A
307;PGLS;0.000369704;#N/A
308;EP400;0.000368487;x
309;TCF4;0.000368433;#N/A
310;WAC;0.000368282;#N/A
311;RPRD2;0.000367476;#N/A
312;HIF1AN;0.000366682;#N/A
313;DHX9;0.000366431;#N/A
314;SMAD1;0.000366415;#N/A
315;FAM199X;0.000366222;#N/A
316;LARP7;0.000365816;#N/A
317;HSD17B10;0.000365313;#N/A
318;CSNK1G1;0.000364852;#N/A
319;MRPL27;0.000364637;#N/A
320;JAK3;0.00036441;x
321;AKAP11;0.000364376;#N/A
322;TNKS2;0.000363716;#N/A
323;APP;0.000363487;#N/A
324;EDF1;0.000363443;#N/A
325;SDAD1;0.000363101;#N/A
326;USP7;0.000362999;#N/A
327;HDAC2;0.00036291;x
328;SMARCA5;0.000362613;#N/A
329;TRRAP;0.000362602;#N/A
330;SHPRH;0.000362288;#N/A
331;WDR83;0.000362262;#N/A
332;WDR48;0.000362028;#N/A
333;TAOK1;0.00036192;#N/A
334;NUBP2;0.000361188;#N/A
335;NUDC;0.000360461;#N/A
336;ANLN;0.00035914;#N/A
337;NDUFA2;0.00035893;#N/A
338;SIRT1;0.000358372;#N/A
339;PSMC5;0.000357667;#N/A
340;RLIM;0.000357213;#N/A
341;ATP5F1D;0.00035716;#N/A
342;ACTR2;0.000356977;#N/A
343;ZNF770;0.000356776;#N/A
344;NDUFA13;0.0003567;#N/A
345;MRPL55;0.000356301;#N/A
346;KIRREL1;0.000355706;#N/A
347;LYST;0.000354878;#N/A
348;DCAF7;0.000354424;#N/A
349;NCOR1;0.000353832;x
350;SMARCC2;0.00035357;#N/A
351;H1-1;0.000352514;#N/A
352;TET2;0.000352394;x
353;TRIP12;0.000352251;#N/A
354;DDR2;0.000352248;x
355;KANK2;0.000351513;#N/A
356;PIAS1;0.000351309;#N/A
357;CHD9;0.000351053;#N/A
358;NDUFB11;0.000351011;#N/A
359;UBE2I;0.000350966;#N/A
360;AKAP9;0.000350727;#N/A
361;SCAND1;0.000350435;#N/A
362;NCOA3;0.000349773;x
363;NFAT5;0.00034906;#N/A
364;PDLIM7;0.000349053;#N/A
365;MIB1;0.000348998;#N/A
366;NOSIP;0.000348823;#N/A
367;YWHAQ;0.000348797;#N/A
368;WNK1;0.000348527;#N/A
369;RSBN1;0.000348509;#N/A
370;NDUFS6;0.000348478;#N/A
371;PCNA;0.000347855;#N/A
372;NAF1;0.000347208;#N/A
373;PPP1R12A;0.000346422;#N/A
374;CCS;0.000346343;#N/A
375;ZNF524;0.000346041;#N/A
376;CUTA;0.000345851;#N/A
377;ATP2B4;0.00034568;#N/A
378;VAPA;0.000345175;#N/A
379;CHMP2A;0.00034479;#N/A
380;ZYG11B;0.000344301;#N/A
381;SIKE1;0.000343095;#N/A
382;KPNA6;0.000343023;#N/A
383;ATG2B;0.000342819;#N/A
384;HMG20A;0.000342529;#N/A
385;PGR;0.000342051;x
386;TUT4;0.000341763;#N/A
387;PEX19;0.00034168;#N/A
388;MAN1A2;0.000341359;#N/A
389;UBXN1;0.000340813;#N/A
390;UHMK1;0.000340437;#N/A
391;ERCC6;0.00034002;#N/A
392;NDUFS8;0.000339854;#N/A
393;TNS1;0.000339279;#N/A
394;MRPL54;0.000339107;#N/A
395;TBC1D5;0.000338509;#N/A
396;NEK4;0.000338501;#N/A
397;ERC1;0.000338479;x
398;GFER;0.000338348;#N/A
399;RNF38;0.000337596;#N/A
400;EIF3G;0.000337553;#N/A
401;ZNF490;0.000337425;#N/A
402;KIF11;0.000337261;#N/A
403;ZNF510;0.000337052;#N/A
404;RALGAPA1;0.000335826;#N/A
405;AURKA;0.000335597;x
406;GOSR1;0.00033506;#N/A
407;RAB3GAP2;0.000334965;#N/A
408;SLC30A6;0.000334575;#N/A
409;AGO1;0.000334403;x
410;MRPL20;0.000334191;#N/A
411;LZIC;0.000334154;#N/A
412;FEM1B;0.000333529;#N/A
413;UBA52;0.000333454;#N/A
414;STRN;0.000333322;#N/A
415;MAP3K2;0.00033299;#N/A
416;PHIP;0.000332945;#N/A
417;SF3B1;0.000332617;x
418;MAP3K1;0.000331955;x
419;PRDM2;0.000331935;#N/A
