No.;Gene name;Score;Oncogene or Tumor Suppresson gene
188;CCND1;0.000595179;x
189;NCOR2;0.000594923;#N/A
190;TERF1;0.00058834;#N/A
191;PLK1;0.000587533;#N/A
192;CCNE1;0.000586036;x
193;RAE1;0.000585581;#N/A
194;ACTL6A;0.000583326;#N/A
195;MAPK8;0.000581938;#N/A
196;OGT;0.000580291;#N/A
197;AP2M1;0.00057692;#N/A
198;SIRT1;0.000576325;#N/A
199;PRKDC;0.000575583;x
200;ERBB4;0.000573325;x
201;CSNK2A2;0.000568444;#N/A
202;BCL2;0.000568364;x
203;CCT2;0.00056675;#N/A
204;ATR;0.000564514;x
205;TBP;0.000564306;#N/A
206;LGR5;0.000562787;x
207;TAF1;0.000560881;x
208;PPP2CB;0.000558688;#N/A
209;RNF2;0.000558004;#N/A
210;PPP1CB;0.000555837;#N/A
211;HSPA8;0.000554228;#N/A
212;FANCD2;0.000551628;x
213;VHL;0.000551011;x
214;PIK3CB;0.00054751;x
215;MAP2K2;0.000545888;x
216;KCTD20;0.000543003;#N/A
217;KEAP1;0.000541618;x
218;RARS1;0.000541597;#N/A
219;FANCG;0.000539724;x
220;CBX4;0.000539207;#N/A
221;APC;0.000535641;x
222;RUNX1;0.000533977;x
223;CDK9;0.000533568;#N/A
224;MRPL58;0.000533036;#N/A
225;PSMD2;0.000532243;#N/A
226;YWHAH;0.000532015;#N/A
227;ATAD2;0.000531089;#N/A
228;APP;0.00053066;#N/A
229;ZWINT;0.000528168;#N/A
230;BARD1;0.000527782;x
231;TCF3;0.000525105;x
232;HSPA4;0.000524285;#N/A
233;INSR;0.000522295;x
234;USP7;0.000521649;#N/A
235;ECSIT;0.000518665;x
236;SYK;0.000515539;x
237;KRAS;0.000511804;x
238;GPATCH8;0.000510816;#N/A
239;BRIP1;0.00050913;x
240;FANCA;0.000508296;x
241;EED;0.000508115;x
242;FGF9;0.000506307;x
243;MAP3K7;0.000504522;x
244;SMC3;0.000503669;x
245;PAK2;0.000501451;#N/A
246;LCK;0.000500919;x
247;FGF14;0.000500064;x
248;SUFU;0.00049929;x
249;PPARG;0.000498083;x
250;TOPBP1;0.000497498;#N/A
251;ARAF;0.000492491;x
252;DUSP9;0.000491214;#N/A
253;HGS;0.000488698;#N/A
254;PIK3R4;0.000488265;#N/A
255;NCOA1;0.000487984;#N/A
256;DICER1;0.000486809;x
257;DAXX;0.000483784;x
258;RUVBL1;0.000482838;#N/A
259;NCK2;0.00048248;#N/A
260;BTRC;0.00048115;#N/A
261;PRMT1;0.000480502;#N/A
262;DDX5;0.00048002;x
263;CDK6;0.000479018;x
264;NFKBIA;0.000478239;x
265;RAD54L;0.000472822;#N/A
266;SEH1L;0.000471758;#N/A
267;PAX6;0.000471198;#N/A
268;CUL1;0.000470079;#N/A
269;YY1;0.00046967;x
270;KIF2C;0.000469172;#N/A
271;BRCA2;0.000468158;x
272;CDC37;0.000467581;#N/A
273;PRR14L;0.000467438;#N/A
274;SCN8A;0.000467076;#N/A
275;TRAF1;0.000465383;#N/A
276;MLH1;0.000465082;x
277;ILK;0.000464856;#N/A
278;SFN;0.000464024;#N/A
279;IDE;0.000462241;#N/A
280;CHD3;0.000462108;#N/A
281;SIX3;0.000461736;#N/A
282;EP400;0.000460427;x
283;PSMD14;0.000459385;#N/A
284;ASPSCR1;0.000459226;#N/A
285;PSMD4;0.00045893;#N/A
286;SFPQ;0.000457693;#N/A
287;TERF2IP;0.000456701;#N/A
288;YAP1;0.000455581;x
289;NCK1;0.000454349;#N/A
290;TRRAP;0.000453878;#N/A
291;RPA2;0.000452999;#N/A
292;FOXK2;0.000451893;#N/A
293;USP34;0.000451576;#N/A
294;H2BC1;0.000450467;#N/A
295;LGALS3;0.000447489;#N/A
296;WRN;0.000446908;x
297;CDH1;0.000446608;x
298;DYNLL1;0.000445674;#N/A
299;SMC1A;0.000444493;x
300;SMARCA2;0.000443401;x
301;KDR;0.000441746;x
302;ITGB1;0.000440446;#N/A
303;TNFRSF1A;0.000440278;#N/A
304;CHEK2;0.000439328;x
305;LRP6;0.000439301;x
306;EGF;0.00043898;#N/A
307;MCM5;0.000438619;#N/A
308;ASXL1;0.000436364;x
309;CD274;0.000435549;x
310;MTA1;0.000435472;#N/A
311;PIK3CD;0.000434216;x
312;NKX2-1;0.000433783;x
313;PAK1;0.000432949;x
314;ZBTB16;0.000431719;#N/A
315;PTK7;0.000430683;#N/A
316;TSC2;0.000430463;x
317;PAXIP1;0.000429822;#N/A
318;CDKN1B;0.000429648;x
319;KIF11;0.000428559;#N/A
320;TTI1;0.000428029;#N/A
321;SFRP1;0.000426142;x
322;CASP8;0.000425738;x
323;CRKL;0.000425272;x
324;PSMC5;0.000425118;#N/A
325;TLX3;0.000424591;x
326;CSTF1;0.00042342;#N/A
327;PSMC3;0.000423326;#N/A
328;TUBG1;0.000420646;#N/A
329;PRKACA;0.000420438;x
330;RAD50;0.000418788;x
331;KAT2A;0.000417157;#N/A
332;SNRPB;0.000416546;#N/A
333;BUB3;0.000416525;#N/A
334;RASA1;0.000415972;x
335;CAV1;0.000414142;#N/A
336;ETV4;0.000412384;x
337;BMI1;0.000411784;#N/A
338;TFDP1;0.000410996;#N/A
339;RBL1;0.000410971;#N/A
340;MFN1;0.000410804;#N/A
341;LEF1;0.000409732;x
342;MAPK6;0.000407195;#N/A
343;FOXO3;0.000407004;#N/A
344;BIRC6;0.000405827;#N/A
345;STAT5A;0.000405466;x
346;NOP56;0.000404856;#N/A
347;RAD1;0.000403585;#N/A
348;AFF4;0.000403109;x
349;RAN;0.000402945;#N/A
350;TBL1XR1;0.00040252;x
351;DVL2;0.000402366;#N/A
352;ARID3A;0.000401564;x
353;CPSF6;0.000400575;#N/A
354;BCOR;0.000400021;x
355;FANCM;0.00039909;x
356;MED1;0.000399084;#N/A
357;SPEN;0.000399017;x
358;OTUB1;0.000398459;#N/A
359;SKP2;0.000397731;#N/A
360;PCM1;0.000397341;#N/A
361;TUBA1A;0.000396699;#N/A
362;NR5A1;0.000396551;#N/A
363;PGR;0.00039557;x
364;NCAPH;0.000395451;#N/A
365;CBX3;0.000394895;#N/A
366;RBX1;0.000394698;#N/A
367;ZNF639;0.000394537;#N/A
368;ORC1;0.000394392;#N/A
369;RELB;0.000391603;#N/A
370;DSN1;0.000391072;#N/A
371;SMARCC2;0.000391024;#N/A
372;JAK3;0.00039085;x
373;FGF1;0.000390773;x
374;MCM2;0.000389153;#N/A
375;TPX2;0.000388886;#N/A
376;SMARCC1;0.000388464;#N/A
377;CFTR;0.000388306;#N/A
378;RPS8;0.000388241;#N/A
379;HCFC1;0.000387355;#N/A
380;PTCH1;0.000386626;x
381;TUBA1C;0.000386595;#N/A
382;NBN;0.000385542;x
383;LARP7;0.000385471;#N/A
384;HMGB1;0.000385449;#N/A
385;CDC20;0.000384535;#N/A
386;DNMT3B;0.000383418;x
387;KIF14;0.00038288;#N/A
388;MCM7;0.000382654;#N/A
389;CSNK1A1;0.000382414;#N/A
390;FANCB;0.000382083;#N/A
391;CENPF;0.000381603;#N/A
392;HSPD1;0.000381572;#N/A
393;TBK1;0.000381332;#N/A
394;ACTG1;0.000381253;x
395;PDCD2;0.000380791;#N/A
396;CARM1;0.000380364;#N/A
397;MAP3K3;0.000379431;#N/A
398;MAPRE1;0.000378957;#N/A
399;LRRK2;0.0003788;#N/A
400;CEBPB;0.000377631;#N/A
401;RANBP2;0.000377571;x
402;HDAC11;0.000377418;#N/A
403;CENPA;0.000376572;#N/A
404;ADAM12;0.000375551;#N/A
405;CSNK2B;0.000375135;#N/A
406;RPRD1B;0.000375093;#N/A
407;PDGFRA;0.00037496;x
408;FAS;0.000374601;x
409;STAG2;0.000374184;x
410;PSMB4;0.000373952;#N/A
411;NUF2;0.00037391;x
412;LIF;0.000373185;#N/A
413;HIF1AN;0.000372278;#N/A
414;HNRNPA1;0.00037218;#N/A
415;CD58;0.000372126;x
416;RACGAP1;0.00037101;#N/A
417;CUL4A;0.000370807;x
418;TGFBR2;0.000370757;x
419;AKT2;0.000370162;x
420;TCF4;0.000370138;#N/A
421;MSH6;0.00036892;x
422;CUL4B;0.000368501;#N/A
423;FBXO11;0.000366614;x
424;DLG4;0.000366374;#N/A
425;SMARCA5;0.000365921;#N/A
426;PPP2R1B;0.000365569;#N/A
427;MAPK9;0.00036521;#N/A
428;GOLT1B;0.000365099;#N/A
429;TP53BP1;0.000365009;x
430;FAAP24;0.000364763;#N/A
431;PBRM1;0.000364331;x
432;ZDHHC17;0.000363227;#N/A
433;FGF2;0.000362811;x
434;EGR1;0.000362633;x
435;RAB3IP;0.00036256;#N/A
436;GATAD2A;0.00036123;#N/A
437;COL1A1;0.000361193;x
438;IL12RB2;0.000360853;#N/A
439;EFNB2;0.00036062;#N/A
440;TRAF3;0.000360614;x
441;MRE11;0.000360501;x
442;XRCC3;0.000360236;#N/A
443;LGALS8;0.000360191;#N/A
444;MTA2;0.00036003;#N/A
445;RPTOR;0.000359707;x
446;NPLOC4;0.000359278;#N/A
447;TGFBR1;0.000359263;x
448;GAB2;0.000358034;x
449;PARP14;0.000357701;#N/A
450;SETDB1;0.000357565;x
451;STUB1;0.000357074;#N/A
452;BCL2L1;0.00035631;#N/A
453;U2AF2;0.000356106;#N/A
454;SMC2;0.000354755;#N/A
455;HDAC6;0.000353886;#N/A
456;PTPRK;0.00035384;#N/A
457;STARD3;0.000353488;#N/A
458;PSMB3;0.000352806;#N/A
459;URI1;0.000352364;#N/A
460;NDC1;0.000351743;#N/A
461;PSMC2;0.000350863;#N/A
462;IRS4;0.000350216;#N/A
463;NCOA3;0.000349406;x
464;PIN1;0.000348814;#N/A
465;COL9A3;0.000348186;#N/A
466;STAT5B;0.000348144;x
467;AGO2;0.000347867;#N/A
468;TRIM27;0.000347581;x
469;PLCG2;0.000346579;x
470;TAL1;0.000346422;x
471;TOP2A;0.000346084;x
472;SET;0.000345975;x
473;IQCB1;0.000345636;#N/A
474;EXO1;0.000345324;#N/A
475;IRS2;0.00034474;x
476;RING1;0.000344637;#N/A
477;SQSTM1;0.000344531;x
478;PTPN9;0.000344414;#N/A
479;PXN;0.000344207;#N/A
480;ILF3;0.00034399;#N/A
481;CDH7;0.000343067;#N/A
482;DBN1;0.000342791;#N/A
483;EHMT2;0.000341634;#N/A
484;IRF1;0.000341376;x
485;CCT3;0.000340396;#N/A
486;MAD2L1;0.000339422;#N/A
487;HES6;0.000337778;#N/A
488;CSMD1;0.000337726;#N/A
489;TINF2;0.000336413;#N/A
490;MAP3K1;0.000335808;x
491;XRCC2;0.000335336;x
492;PSMB7;0.000335136;#N/A
493;RAB31;0.000334739;#N/A
494;SULF1;0.00033345;#N/A
495;MRPL47;0.000333274;#N/A
496;SYNCRIP;0.000333043;#N/A
497;CDC73;0.000333017;x
498;PTK2B;0.000332276;#N/A
499;BIRC5;0.000332029;#N/A
500;HDAC5;0.0003316;#N/A
501;PDS5A;0.000331409;#N/A
502;ZNF148;0.000331355;#N/A
503;NCAPG2;0.000331238;#N/A
504;RET;0.00033047;x
505;FGFR4;0.000330291;x
506;NCOA6;0.000329981;#N/A
507;PRKCZ;0.000329553;#N/A
508;MYO18A;0.000328203;#N/A
509;USP9X;0.000328094;#N/A
510;PSMA1;0.000327812;#N/A
511;ANAPC2;0.000327721;#N/A
512;RUNX2;0.000327578;#N/A
513;NUFIP1;0.000327566;#N/A
514;GINS1;0.000327545;#N/A
515;CAD;0.000327511;x
516;DHX40;0.000327496;#N/A
517;FOXP3;0.000327452;#N/A
518;PSMB9;0.00032705;#N/A
519;MAX;0.000326942;x
520;KIF5B;0.000326882;#N/A
521;NCSTN;0.000326731;x
522;COPS5;0.000326717;#N/A
523;GTSE1;0.000325875;#N/A
524;COL5A2;0.000325824;#N/A
525;FANCI;0.000325539;#N/A
526;RBM10;0.000325367;x
527;HSPB1;0.000325315;#N/A
528;LATS1;0.000325082;x
529;FADD;0.000324979;#N/A
530;CCNB1;0.000324679;#N/A
531;KIF18B;0.000324582;#N/A
532;RICTOR;0.000324277;x
533;MEPCE;0.000323936;#N/A
534;RFC4;0.000321417;#N/A
535;AGO3;0.000320791;#N/A
536;PPFIA1;0.000320587;#N/A
537;RNPS1;0.000320314;#N/A
538;NFATC1;0.0003201;#N/A
539;SMAD1;0.000320055;#N/A
540;MED12;0.000320007;x
541;BAG6;0.000318287;#N/A
542;C1QBP;0.000317637;#N/A
543;TEK;0.000317274;#N/A
544;PSMC1;0.000317105;#N/A
545;ANLN;0.000316899;#N/A
546;ATP2B3;0.000316385;#N/A
547;POLQ;0.000316343;#N/A
548;CASC3;0.00031579;#N/A
549;HDGF;0.000315567;#N/A
550;IRAK1;0.000315027;#N/A
551;JUP;0.000314984;#N/A
552;UBA1;0.000314455;x
553;TCF12;0.000314427;#N/A
554;PRKCA;0.000314315;#N/A
555;FGF3;0.000314109;x
556;MDC1;0.000313953;#N/A
557;PRKCB;0.000313841;x
558;APOA1;0.000313835;#N/A
559;NELFCD;0.0003133;#N/A
560;WDHD1;0.000311947;#N/A
561;TP63;0.000311884;x
562;INHBA;0.000311743;x
563;DDB1;0.000311642;#N/A
564;RPS6KB2;0.000311031;x
565;PTEN;0.000310357;x
566;MSX2;0.000310328;#N/A
567;SMC1B;0.000310318;#N/A
568;FBXW11;0.000310155;#N/A
569;IL1R1;0.000309865;#N/A
570;LIFR;0.000309811;#N/A
571;SH3KBP1;0.000309522;#N/A
572;FOXL1;0.000309404;#N/A
