No.;Gene name;Score;Oncogene or Tumor Suppresson gene
3191;NIF3L1;8.72E-05;#N/A
3192;PTPRG;8.72E-05;#N/A
3193;GLE1;8.72E-05;#N/A
3194;HDAC10;8.71E-05;#N/A
3195;DNM1;8.71E-05;#N/A
3196;CLOCK;8.70E-05;#N/A
3197;URB2;8.69E-05;#N/A
3198;CXCL10;8.69E-05;#N/A
3199;TDG;8.69E-05;#N/A
3200;SYNE4;8.69E-05;#N/A
3201;DNAJB11;8.69E-05;#N/A
3202;PPP1R12B;8.67E-05;#N/A
3203;COPE;8.67E-05;#N/A
3204;TIMP2;8.66E-05;#N/A
3205;PDZD3;8.66E-05;#N/A
3206;PARVG;8.66E-05;#N/A
3207;WWC1;8.65E-05;#N/A
3208;RRM1;8.65E-05;#N/A
3209;IL2;8.65E-05;#N/A
3210;ZZEF1;8.64E-05;#N/A
3211;USP4;8.64E-05;#N/A
3212;TNFSF18;8.64E-05;#N/A
3213;KIF7;8.63E-05;#N/A
3214;POLR1A;8.63E-05;#N/A
3215;MBTD1;8.63E-05;#N/A
3216;LCA5;8.63E-05;#N/A
3217;PTPRJ;8.63E-05;#N/A
3218;B3GALNT1;8.62E-05;#N/A
3219;ATXN3;8.62E-05;#N/A
3220;FAM9B;8.62E-05;#N/A
3221;PRKACG;8.62E-05;#N/A
3222;MYL6;8.62E-05;#N/A
3223;SIRT2;8.61E-05;#N/A
3224;RND1;8.61E-05;#N/A
3225;GCC2;8.61E-05;#N/A
3226;RRAGA;8.61E-05;#N/A
3227;CD2AP;8.60E-05;#N/A
3228;SPP1;8.60E-05;#N/A
3229;ZNF366;8.60E-05;#N/A
3230;CD34;8.59E-05;#N/A
3231;GEMIN2;8.58E-05;#N/A
3232;LAT2;8.57E-05;#N/A
3233;USP42;8.57E-05;#N/A
3234;MYBPH;8.57E-05;#N/A
3235;TCL1B;8.57E-05;x
3236;SLC15A5;8.57E-05;#N/A
3237;CD14;8.57E-05;#N/A
3238;CKS1B;8.56E-05;#N/A
3239;PLAC1;8.56E-05;#N/A
3240;UGT8;8.56E-05;#N/A
3241;SYCP3;8.55E-05;#N/A
3242;UGT3A2;8.55E-05;#N/A
3243;RASSF1;8.55E-05;#N/A
3244;S100A7;8.55E-05;#N/A
3245;PABPC4;8.55E-05;#N/A
3246;P4HA3;8.55E-05;#N/A
3247;ANK3;8.54E-05;#N/A
3248;NCKIPSD;8.54E-05;#N/A
3249;RAX;8.53E-05;#N/A
3250;GABARAPL1;8.53E-05;#N/A
3251;FAAP24;8.53E-05;#N/A
3252;MCM5;8.53E-05;#N/A
3253;SPECC1;8.53E-05;#N/A
3254;ITGA2;8.53E-05;#N/A
3255;ARFGEF2;8.53E-05;#N/A
3256;S100P;8.52E-05;#N/A
3257;MAGEA10;8.52E-05;#N/A
3258;RRAD;8.52E-05;#N/A
3259;SULF2;8.52E-05;#N/A
3260;USP10;8.51E-05;#N/A
3261;PUS7L;8.51E-05;#N/A
3262;SFMBT1;8.51E-05;#N/A
3263;XPO4;8.51E-05;#N/A
3264;IL1R1;8.51E-05;#N/A
3265;B3GALT1;8.51E-05;#N/A
3266;OXSR1;8.50E-05;#N/A
3267;MARS1;8.50E-05;#N/A
3268;RALA;8.50E-05;#N/A
3269;LRRC46;8.50E-05;#N/A
3270;CCDC127;8.49E-05;#N/A
3271;CETN2;8.49E-05;#N/A
3272;GRIN3B;8.49E-05;#N/A
3273;DHX33;8.49E-05;#N/A
3274;CCL5;8.48E-05;#N/A
3275;SLC25A11;8.48E-05;#N/A
3276;PTPN9;8.48E-05;#N/A
3277;ORC4;8.48E-05;#N/A
3278;ATP5F1B;8.48E-05;#N/A
3279;PSG3;8.47E-05;#N/A
3280;MAGOHB;8.47E-05;#N/A
3281;AAK1;8.47E-05;#N/A
3282;NOS1;8.47E-05;#N/A
3283;ENAH;8.47E-05;#N/A
3284;RPS9;8.46E-05;#N/A
3285;MAP1A;8.46E-05;#N/A
3286;UQCRFS1;8.46E-05;#N/A
