No.;Gene name;Oncogene or Tumor Suppresson gene
;CDC45;#N/A
;AURKB;x
;TONSL;#N/A
;GAB1;x
;COPB2;#N/A
;UBE2E3;#N/A
;CREBBP;x
;TGFA;#N/A
;SNX3;#N/A
;AURKA;x
;ACTL6A;#N/A
;LIMK1;#N/A
;JAK2;x
;TGFBR1;x
;PPP1CA;#N/A
;BCL3;x
;GNB2;#N/A
;BAG5;#N/A
;CHUK;#N/A
;GATAD2A;#N/A
;FOS;#N/A
;DLX2;#N/A
;LHX2;#N/A
;VEGFA;x
;TK1;#N/A
;MYBL2;#N/A
;FADD;#N/A
;PSMD4;#N/A
;CBX3;#N/A
;KIF21B;#N/A
;TOP2A;x
;MAPK8;#N/A
;SHMT2;#N/A
;PIP5K1B;#N/A
;FRS2;x
;IRS2;x
;AKAP13;#N/A
;TCF4;#N/A
;TRAF2;#N/A
;HGF;x
;ZNF74;#N/A
;DDX24;#N/A
;PDGFA;#N/A
;PGAM5;#N/A
;EPO;#N/A
;SMAD3;x
;HDAC2;x
;RFC2;#N/A
;AR;x
;TNF;#N/A
;DNMT3A;x
;CDK4;x
;KRT8;#N/A
;DCST1;#N/A
;RPA3;#N/A
;ARAF;x
;CDCA5;#N/A
;COPS2;#N/A
;PRKCB;x
;HBEGF;#N/A
;DLG3;#N/A
;GAPDH;#N/A
;MAPK12;#N/A
;BCL2;x
;SAP30;#N/A
;LYN;x
;NGEF;#N/A
;PPP6R1;#N/A
;DPY30;#N/A
;PTTG1;#N/A
;MAPK9;#N/A
;IKZF3;x
;CDK1;#N/A
;PCNA;#N/A
;PAK1;x
;PXN;#N/A
;IL6;#N/A
;MEF2A;#N/A
;INSR;x
;MAPK11;#N/A
;GSTM2;#N/A
;CREB1;x
;AIMP2;#N/A
;EFNA1;#N/A
;TNIP3;#N/A
;FN1;#N/A
;IL1B;#N/A
;CSK;#N/A
;CCNB1;#N/A
;CDK6;x
;PPM1G;#N/A
;HDAC9;#N/A
;GNG13;#N/A
;CELSR1;#N/A
;RFC4;#N/A
;CIB1;#N/A
;MARS1;#N/A
;FEN1;#N/A
;H2BC15;#N/A
;EFNA2;#N/A
;FAAP24;#N/A
;BAD;#N/A
;HNF4G;#N/A
;TCF7L1;#N/A
;BTC;#N/A
;MAPK10;#N/A
;TEK;#N/A
;MOV10;#N/A
;PTPN6;#N/A
;INS;#N/A
;SMC1B;#N/A
;CDKN2D;#N/A
;SSTR2;#N/A
;P2RX6;#N/A
;CD19;x
;SRSF1;#N/A
;KIF20A;#N/A
;CEP85L;#N/A
;KDR;x
