No.;Gene name;Oncogene or Tumor Suppresson gene
;TNFRSF1A;#N/A
;SCMH1;#N/A
;TSPAN17;#N/A
;MUSK;#N/A
;CD74;x
;IL21R;#N/A
;PIGQ;#N/A
;REM1;#N/A
;RASSF6;#N/A
;EDN1;#N/A
;REST;x
;PSMB2;x
;PPP3R1;#N/A
;KCTD13;#N/A
;MEOX2;#N/A
;PKMYT1;#N/A
;CHD4;x
;CBLC;#N/A
;SPICE1;#N/A
;UBE2C;#N/A
;PRKAG2;#N/A
;ITGA2;#N/A
;INHA;x
;TNIK;#N/A
;CTSD;#N/A
;IQCE;#N/A
;GNB3;#N/A
;CALCOCO1;#N/A
;PSRC1;#N/A
;MAPKAP1;#N/A
;SESN3;x
;IRF6;#N/A
;TPTE;#N/A
;AXL;x
;PLCB2;#N/A
;NME1;#N/A
;ELOC;#N/A
;ITGB1BP1;#N/A
;SCX;#N/A
;ING5;#N/A
;ORC6;#N/A
;HAUS1;#N/A
;RAD54B;#N/A
;ITGA2B;#N/A
;ASPSCR1;#N/A
;PPP2R5D;#N/A
;PRICKLE3;#N/A
;GREM1;x
;MT3;#N/A
;SOX11;#N/A
;HMGN5;#N/A
;MAD2L1;#N/A
;COLGALT1;#N/A
;POLB;#N/A
;RBM11;#N/A
;LARP4B;#N/A
;IL6ST;x
;PTGFR;#N/A
;PPP3CA;#N/A
;GBA;#N/A
;SLC2A1;#N/A
;XIAP;x
;PSEN2;#N/A
;PSMD5;#N/A
;WNT2;#N/A
;NRP1;#N/A
;RIPK4;#N/A
;MED21;#N/A
;CLCN2;#N/A
;SPIB;#N/A
;NUSAP1;#N/A
;PRR14;#N/A
;ASTL;#N/A
;NOP16;#N/A
;ECE2;#N/A
;PIK3R5;#N/A
;PNKP;#N/A
;TRIM62;#N/A
;VDR;#N/A
;TRIM11;#N/A
;SIRPA;#N/A
;CCDC74B;#N/A
;CRABP2;#N/A
;PPM1A;#N/A
;IL1A;#N/A
;BRSK2;#N/A
;SKP2;#N/A
;RAPGEF1;#N/A
;SIX4;#N/A
;FAAP100;#N/A
;PSMB8;#N/A
;MAVS;#N/A
;TNFRSF18;#N/A
;IL5RA;#N/A
;E2F7;#N/A
;PSME1;#N/A
;FZD2;#N/A
;DCTPP1;#N/A
;IL7R;x
;PILRA;#N/A
;HCK;#N/A
;CXCL10;#N/A
;PRKAG3;#N/A
;PPP1CC;#N/A
;F3;#N/A
;SLC39A1;#N/A
;ID2;#N/A
;KCTD5;#N/A
;RFX5;#N/A
;NUP62CL;#N/A
;CLDN5;#N/A
;ING2;#N/A
;SMPD4;#N/A
;PSME2;#N/A
;PRR5;#N/A
;CXCL9;#N/A
;VCL;#N/A
;AGO2;#N/A
;PSMF1;#N/A
;GFRA3;#N/A
;ARTN;#N/A
;SCRIB;#N/A
;PSME4;#N/A
;TET1;x
;MKNK1;#N/A
;RASGRP3;#N/A
;YWHAQ;#N/A
;DCAF13;#N/A
;FAT4;#N/A
;KCNA5;#N/A
;CD6;#N/A
;DAB2IP;#N/A
;DEK;x
;CAMK2G;#N/A
;SHKBP1;#N/A
;HOMER3;#N/A
;DUSP6;#N/A
;IL10;#N/A
;SMC6;#N/A
;H2BC5;#N/A
;PSMB10;#N/A
;PLK4;#N/A
;HAGHL;#N/A
;COL4A3;#N/A
;ADAM17;#N/A
;MYO1G;#N/A
;CENPL;#N/A
;CNOT7;#N/A
;TARBP2;#N/A
;CHTF18;#N/A
;TTYH3;#N/A
;TBX5;#N/A
;RASAL2;#N/A
;FOXJ1;#N/A
;ISG20L2;#N/A
;SNX20;#N/A
;EFHC2;#N/A
;AGO3;#N/A
;C3;#N/A
;PIK3AP1;#N/A
;TYROBP;#N/A
;RAD50;x
;NR0B2;#N/A
;RASA3;#N/A
;NELL2;#N/A
;DPF3;#N/A
;AGO4;#N/A
;PTPRK;#N/A
;PRC1;#N/A
;BMF;#N/A
;IL2RA;#N/A
;RALGDS;#N/A
;RARB;#N/A
;LPAR2;#N/A
;PIP4K2C;#N/A
;TSHR;x
;HNF4A;#N/A
;APAF1;#N/A
;RRAGB;#N/A
;PRR14L;#N/A
;SHCBP1;#N/A
;H4C13;#N/A
;RPS6KA3;#N/A
;TLR9;#N/A
;TLR4;#N/A
;UBASH3A;#N/A
;LSM14B;#N/A
;CDC6;#N/A
;UBE2I;#N/A
;HOXA9;#N/A
;MRAS;#N/A
;AGO1;x
;NR2C2AP;#N/A
;ITGAL;#N/A
;PARD6B;#N/A
;RRAGC;x
;ERN1;#N/A
;INCENP;#N/A
;ZNF462;#N/A
;ELOB;#N/A
;GNAQ;x
;SPEN;x
;SEPTIN12;#N/A
;RAP1B;#N/A
;PTPRJ;#N/A
;LAMA2;#N/A
;CLN3;#N/A
;UBE2Q1;#N/A
;LRRC59;#N/A
;ZNF18;#N/A
;NME3;#N/A
;APLP1;#N/A
;UHMK1;#N/A
;RXRG;#N/A
;FAM124A;#N/A
;HDAC5;#N/A
;RRAGA;#N/A
;APLF;#N/A
;DGKQ;#N/A
;PDE3B;#N/A
;CALML3;#N/A
;MID1;#N/A
;GRIN2D;#N/A
;PCGF1;#N/A
;PPP3CC;#N/A
;TNRC6B;#N/A
;SOCS2;#N/A
;UBE2S;#N/A
;MDM4;x
;ABCB11;#N/A
;TICAM1;#N/A
;PPP1CB;#N/A
;RRP1;#N/A
;ACSM3;#N/A
;TFG;#N/A
;CC2D2A;#N/A
;ARPC1B;#N/A
;LAMTOR1;#N/A
;TROAP;#N/A
;GNB1L;#N/A
;ACTA2;#N/A
;MTUS1;#N/A
;F12;#N/A
;FLYWCH2;#N/A
;KLHL2;#N/A
;MITF;x
;TNRC6C;#N/A
;DOCK1;#N/A
;PTPRM;#N/A
;AKR1C3;#N/A
;F7;#N/A
;LAMA1;#N/A
;RGCC;#N/A
;MELK;#N/A
;SPATA22;#N/A
;SERPINB5;#N/A
;MAPK8IP2;#N/A
;LRFN1;#N/A
;NFATC3;#N/A
;C1QBP;#N/A
;DUSP7;#N/A
;GK;#N/A
;ESPL1;#N/A
;TNRC6A;#N/A
;RASSF3;#N/A
;FCGR1A;#N/A
;TBK1;#N/A
;PIM1;#N/A
;CACNA1I;#N/A
;IL23A;#N/A
;BAIAP2;#N/A
;KRT17;#N/A
;FBXO45;#N/A
;PRKCE;#N/A
;ITGA6;#N/A
;TOP3A;#N/A
;MAGI2;x
;FZD8;#N/A
;CDKN2C;x
;TAF4;#N/A
;CTPS2;#N/A
;CHPF2;#N/A
;LAMC1;#N/A
;MLH1;x
;TMEM171;#N/A
;SMAD5;#N/A
;MMP2;#N/A
;AVPR2;#N/A
;AIFM1;#N/A
;CAB39;#N/A
;NR1I2;#N/A
;LAMA5;#N/A
;TFEC;#N/A
;TEKT2;#N/A
;CIT;#N/A
;FER;#N/A
;SGK1;x
;FANCI;#N/A
;SQSTM1;x
;CCR5;#N/A
;DUSP9;#N/A
;ZNF205;#N/A
;ZWINT;#N/A
;TRAF4;#N/A
;EYA1;#N/A
;RBL1;#N/A
;RAB11FIP4;#N/A
;PACSIN1;#N/A
;PNOC;#N/A
;ACTG2;#N/A
;BHLHE41;#N/A
;BCAR1;#N/A
;ARHGAP5;#N/A
;KCNA4;#N/A
;IAPP;#N/A
;EGR2;x
;STX1A;#N/A
;CTBP1;#N/A
;COMMD5;#N/A
;CTTNBP2;#N/A
;CENPO;#N/A
;LAMB1;#N/A
;TUBB2B;#N/A
;YWHAG;#N/A
;OSBPL6;#N/A
;GSTM3;#N/A
;ANGPT2;#N/A
;RIPK3;#N/A
;NES;#N/A
;TFRC;#N/A
;FAM131C;#N/A
;PIP5K1A;#N/A
;TPD52;#N/A
;IFNA5;#N/A
;HIPK2;#N/A
;STX3;#N/A
;SRPK2;#N/A
;ACVR1B;x
;KIF4A;#N/A
;RBBP7;#N/A
;SH3BP1;#N/A
;GRIN2B;#N/A
;MAPK7;#N/A
;ITPR3;#N/A
;KIF26B;#N/A
;HTR1D;#N/A
;STARD13;#N/A
;BCR;x
;LMNA;x
;CX3CL1;#N/A
;SIN3A;#N/A
;TLR6;#N/A
;GDI1;#N/A
;IL7;#N/A
;CDC42EP3;#N/A
;MYLK2;#N/A
;SLC39A4;#N/A
;TP63;x
;KRT32;#N/A
;SYT9;#N/A
;TRABD;#N/A
;PTX3;#N/A
;ING4;#N/A
;SMARCD2;#N/A
;ZNF268;#N/A
;JAG1;#N/A
;ARID2;x
;CENPI;#N/A
;MAP3K7;x
;CHAF1A;#N/A
;C1QTNF6;#N/A
;SACS;#N/A
;LAMB3;#N/A
;THEM4;#N/A
;AVP;#N/A
;LLGL2;#N/A
;HCLS1;#N/A
;CXCR2;#N/A
;LHX3;#N/A
;GNG4;#N/A
;CENPN;#N/A
;LMNB2;#N/A
;CXCL12;#N/A
;DDX56;#N/A
;RGS4;#N/A
;TBC1D7;#N/A
;KLK5;#N/A
;GNG7;#N/A
;RASSF5;#N/A
;SPIRE2;#N/A
;CSF3;#N/A
;ABCB4;#N/A
;IL3RA;#N/A
;RPUSD4;#N/A
;THOC6;#N/A
;HPCA;#N/A
;APEX2;#N/A
;U2AF2;#N/A
;NUP210;#N/A
;RABEP2;#N/A
;GNG2;#N/A
;IRF3;#N/A
;UBXN2A;#N/A
;PIGM;#N/A
;ICOSLG;x
;KRT75;#N/A
;FGD1;#N/A
;ERCC6L;#N/A
;PPP2R5A;#N/A
;ECT2;#N/A
;RUNDC3A;#N/A
;NCF1;#N/A
;RNF149;#N/A
;CEP55;#N/A
;FOXP2;#N/A
;LAMA3;#N/A
;MRE11;x
;B3GAT3;#N/A
;LAMB2;#N/A
;ARRDC1;#N/A
;CYHR1;#N/A
;SLC38A9;#N/A
;IRF7;#N/A
;HSPA6;#N/A
;PDRG1;#N/A
;NOTCH3;x
;IL5;#N/A
;IL18;#N/A
;TNFRSF10A;#N/A
;RFC5;#N/A
;GAK;#N/A
;H1-4;x
;EPOR;x
;TAOK3;#N/A
;SLC25A22;#N/A
;ALDH3A2;#N/A
;GRK5;#N/A
;PPP5C;#N/A
;MTA1;#N/A
;SYNE4;#N/A
;PPARD;#N/A
;CD3E;#N/A
;GTF2H1;#N/A
;GFER;#N/A
;CXCL11;#N/A
;B4GALT3;#N/A
;NCAPG;#N/A
;BEND7;#N/A
;H1-3;x
;KIF18B;#N/A
;EFNA5;#N/A
;CNBP;#N/A
;TAOK1;#N/A
;GATA4;x
;P3H1;#N/A
;ATP6AP1;#N/A
;ILF3;#N/A
;SEC13;#N/A
;STK24;#N/A
;CLEC5A;#N/A
;ADORA3;#N/A
;SIAH2;#N/A
;FBRS;#N/A
;TADA3;#N/A
;SLX4;x
;MAGOHB;#N/A
;SHOC2;x
;RPA1;#N/A
;MAPK6;#N/A
;HMGA2;x
;PIGC;#N/A
;PRMT2;#N/A
;LIG3;#N/A
;ORMDL2;#N/A
;GNA13;x
;CSTF3;#N/A
;TIAM1;#N/A
;ADRM1;#N/A
;CHAF1B;#N/A
;RALA;#N/A
;SPRED1;x
;TBL1XR1;x
;GNG8;#N/A
;RPRD1B;#N/A
;CTBP2;#N/A
;AKR1C2;#N/A
;GNGT2;#N/A
;MOGS;#N/A
;XPO6;#N/A
;NVL;#N/A
;SMG6;#N/A
;ROGDI;#N/A
;STIL;#N/A
;CSNK1E;#N/A
;DTL;#N/A
;A2M;#N/A
;MYCN;x
;CUL1;#N/A
;F11R;#N/A
;RABIF;#N/A
;MAP3K14;x
;AKAP3;#N/A
;FBXW11;#N/A
;HDAC6;#N/A
;TREM2;#N/A
;DYNLT1;#N/A
;BUB1;#N/A
;PPP2R5E;#N/A
;CDK9;#N/A
;GNA11;x
;SSNA1;#N/A
;CEP57;#N/A
;H3C2;#N/A
;MOCS3;#N/A
;INPP5B;#N/A
;P4HA3;#N/A
;TEAD2;#N/A
;UBQLN4;#N/A
;ZNF675;#N/A
;ANGPT4;#N/A
;HSPBP1;#N/A
;PTHLH;#N/A
;PDCD2L;#N/A
;ARPC5L;#N/A
;GEMIN7;#N/A
;RNF217;#N/A
;RAMP3;#N/A
;TAOK2;#N/A
;FOXE1;#N/A
;PODXL;#N/A
;KDM1A;#N/A
;NUBP2;#N/A
;ORC1;#N/A
;PPP2R5B;#N/A
;RNASEH2A;x
;SEC22B;#N/A
;TNFRSF11A;#N/A
;TIMM23;#N/A
;MED12;x
;MOS;#N/A
;NFKB2;#N/A
;BCL6;x
;LILRB1;#N/A
;SCAF8;#N/A
;RDM1;#N/A
;CLEC7A;#N/A
;TRIM14;#N/A
;DNAJC9;#N/A
;CDR2;#N/A
;KBTBD7;#N/A
;MAP3K11;#N/A
;SIK3;#N/A
;APBA1;#N/A
;TRAF5;x
;CEBPA;x
;PAK3;#N/A
;ACVR1;x
;FZD6;#N/A
;CEBPB;#N/A
;TELO2;#N/A
;MAP3K12;#N/A
;STAT2;#N/A
;BRAP;#N/A
;ANLN;#N/A
;WRN;x
;NFKBIB;#N/A
;C1orf35;#N/A
;TBL1X;#N/A
;GJA1;#N/A
;MAGEA1;#N/A
;TXNRD1;#N/A
;CDS1;#N/A
;CGA;#N/A
;ZNF687;#N/A
;CCDC87;#N/A
;LMNB1;#N/A
;LOXL4;#N/A
;FZD5;#N/A
;PAM;#N/A
;ESM1;#N/A
;RPL23;#N/A
;STUB1;#N/A
;HAX1;#N/A
;MARK3;#N/A
;HLA-E;#N/A
;SNCAIP;#N/A
;PLA2G1B;#N/A
;BOLA1;#N/A
;CTSH;#N/A
;DYRK1A;#N/A
;ZFP36L1;x
;TMEM165;#N/A
;WDR6;#N/A
;PHIP;#N/A
;SNX27;#N/A
;PIK3C3;#N/A
;NCOA3;x
;DMXL1;#N/A
;TUBA3E;#N/A
;FBXO6;#N/A
;ENG;#N/A
;TRPM3;#N/A
;SNCG;#N/A
;PDE2A;#N/A
;MED24;#N/A
;NFE2L2;x
;ARHGEF18;#N/A
;IFNA17;#N/A
;CLOCK;#N/A
;IFNA13;#N/A
;SPTBN1;#N/A
;RAD54L;#N/A
;ZNF653;#N/A
;TLE2;#N/A
;VCAM1;#N/A
;TAF1;x
;CENPA;#N/A
;PMF1;#N/A
;FOXF1;x
;STK25;#N/A
;PPARA;#N/A
;TNFRSF21;#N/A
;ADORA1;#N/A
;DLG5;#N/A
;NRSN2;#N/A
;H2AC6;#N/A
;RBM8A;#N/A
;KALRN;#N/A
;CENPF;#N/A
;APOE;#N/A
;RAE1;#N/A
;AGRN;#N/A
;P2RX4;#N/A
;DDRGK1;#N/A
;SKP1;#N/A
;BFSP2;#N/A
;RASSF9;#N/A
;CXCL5;#N/A
;PDE4D;#N/A
;BAG4;#N/A
;NR1H3;#N/A
;LRRC1;#N/A
;NCOR2;#N/A
;KDM5A;x
;SRY;#N/A
;ADRA1A;#N/A
;LEO1;#N/A
;MECP2;#N/A
;NKX2-1;x
;CENPE;#N/A
;FBXL22;#N/A
;ROR2;#N/A
;CCL23;#N/A
;PDE8A;#N/A
;ATXN1;#N/A
;IRAK4;#N/A
;PRIM2;#N/A
;SPAG5;#N/A
;JUNB;#N/A
;FUBP3;#N/A
;ITGA5;#N/A
;TJP1;#N/A
;FZD3;#N/A
;TEX11;#N/A
;BCL10;x
;IFNA14;#N/A
;TSNAX;#N/A
;ENTPD7;#N/A
;NUDT22;#N/A
;TRAIP;#N/A
;PECAM1;#N/A
;HSF1;#N/A
;SPAG1;#N/A
;SPI1;#N/A
;IFNA6;#N/A
;LAMB4;#N/A
;KAT6A;#N/A
;MAPK15;#N/A
;ROR1;#N/A
;TGFB1I1;#N/A
;DNM2;x
;MTA2;#N/A
;TUBB8;#N/A
;LHX1;#N/A
;EIF4A3;#N/A
;RHPN1;#N/A
;BMX;#N/A
;ZNF668;#N/A
;STOX2;#N/A
;FAM110A;#N/A
;BUB3;#N/A
;COL4A1;#N/A
;CD33;#N/A
;SLC7A5;#N/A
;DVL1;#N/A
;BMI1;#N/A
;SUMO1;#N/A
;PARK7;#N/A
;CSF2RA;#N/A
;ZNF768;#N/A
;TAPBP;#N/A
;HOXC13;#N/A
;ACOT8;#N/A
;TNFSF10;#N/A
;PPP1R14A;#N/A
;CDT1;#N/A
;LHX4;#N/A
;IL21;#N/A
;PRKCQ;#N/A
;SIRT2;#N/A
;CD34;#N/A
;MAP3K10;#N/A
;CEACAM6;#N/A
;SOX5;#N/A
;NOX4;#N/A
;ARMC6;#N/A
;BMP7;#N/A
;WARS1;#N/A
;EPAS1;#N/A
;WNK2;#N/A
;YEATS4;#N/A
;GATA1;#N/A
;RBBP5;#N/A
;SIRT6;#N/A
;RNF14;#N/A
;PTGES3;#N/A
;RASGRF2;#N/A
;HAND2;#N/A
;ITGB8;#N/A
;CARM1;#N/A
;COL9A1;#N/A
;TNFSF13;x
;THAP12;#N/A
;LEP;#N/A
;ATF5;#N/A
;SLC12A5;#N/A
;SEMA6A;#N/A
;SMARCA1;x
;IFNA4;#N/A
;MSH2;x
;ACTL6B;#N/A
;PINK1;#N/A
;ADORA2A;#N/A
;ACTN2;#N/A
;CBLB;#N/A
;SFRP2;x
;IFNA8;#N/A
;TPTE2;#N/A
;PDCD10;#N/A
;H2AC21;#N/A
;ARHGAP8;#N/A
;IGFBP6;#N/A
;RGMB;#N/A
;CDC123;#N/A
;PKD2;#N/A
;RANGAP1;#N/A
;TNFRSF8;#N/A
;ZBTB16;#N/A
;SRF;#N/A
;OXSR1;#N/A
;NR1H2;#N/A
;STK39;#N/A
;PROX1;#N/A
;RFPL1;#N/A
;MEIS3;#N/A
;VPS72;#N/A
;CPNE7;#N/A
;DPP9;#N/A
;MAGED1;#N/A
;CTCFL;#N/A
;DDR2;x
;NTAQ1;#N/A
;MED17;#N/A
;PTPN1;x
;CCDC137;#N/A
;MED4;#N/A
;COL18A1;#N/A
;COL4A2;#N/A
;PSPH;#N/A
;PBX4;#N/A
;WNT7B;#N/A
;CELF1;#N/A
;RSF1;#N/A
;F2;#N/A
;MINK1;#N/A
;PDCD5;#N/A
;DNASE2;#N/A
;WBP2;#N/A
;PHLPP1;x
;SFRP4;#N/A
;IL34;#N/A
;POU3F1;#N/A
;GTF2F1;#N/A
;GDF15;#N/A
;BMP6;#N/A
;STX2;#N/A
;MAML1;#N/A
;LTK;x
;HINFP;#N/A
;ITGA1;#N/A
;FAM98A;#N/A
;ARFGAP1;#N/A
;PTCH1;x
;ZPR1;#N/A
;ERP29;#N/A
;LOXL1;#N/A
;FGF13;#N/A
;TACC3;#N/A
;FBXO41;#N/A
;PRKX;#N/A
;MYO16;#N/A
;FOXF2;#N/A
;MYOCD;#N/A
;ZBTB49;#N/A
;FBLN5;#N/A
;MBD3;#N/A
;RNF187;#N/A
;PDIA4;#N/A
;TRIP13;x
;USP5;#N/A
;NAMPT;#N/A
;BTG4;#N/A
;MLXIPL;#N/A
;EPHA1;#N/A
;LAGE3;#N/A
;FAM98B;#N/A
;TSPYL5;#N/A
;PKD1L3;#N/A
;MRPL12;#N/A
;RAD51C;x
;ABI1;#N/A
;HMGN1;#N/A
;HSPD1;#N/A
;TFB2M;#N/A
;TOMM34;#N/A
;MCM2;#N/A
;APH1A;#N/A
;DOLPP1;#N/A
;TDP1;#N/A
;ASPM;#N/A
;TIGD5;#N/A
;RNPS1;#N/A
;NCAPH;#N/A
;LGALS3;#N/A
;ATIC;x
;CDC27;#N/A
;NCLN;#N/A
;FAT1;x
;CHD3;#N/A
;NDRG1;#N/A
;NOD2;#N/A
;DTX2;#N/A
;POP7;#N/A
;PRDX3;#N/A
;APPL1;#N/A
;MPRIP;#N/A
;STAT6;x
;PABPC4L;#N/A
;RANBP9;#N/A
;POLR2G;#N/A
;S100P;#N/A
;CDCA4;#N/A
;RUNX3;#N/A
;ZMYND19;#N/A
;ASXL2;x
;LRRC46;#N/A
;VANGL1;#N/A
;PLRG1;#N/A
;IMPDH1;#N/A
;AKT1S1;x
;MED13;#N/A
;SLC25A5;#N/A
;UBE2M;#N/A
;DTYMK;#N/A
;CASKIN1;#N/A
;SLC4A8;#N/A
;POLR2E;#N/A
;THOC3;#N/A
;TYK2;x
;MED16;#N/A
;HNF1A;x
;USP44;#N/A
;MAG;#N/A
;RHOF;#N/A
;POLD1;x
;KLC2;#N/A
;CDK8;x
;SEC61A1;#N/A
;PEBP1;#N/A
;YKT6;#N/A
;CFLAR;#N/A
;FLVCR1;#N/A
;DAPK1;#N/A
;AIF1L;#N/A
;PHLPP2;x
;ALPL;#N/A
;CDH11;x
;ACHE;#N/A
;WNT10B;#N/A
;LTBR;#N/A
;NCK1;#N/A
;H2BC1;#N/A
;WDR83;#N/A
;PCDHB15;#N/A
;MED14;#N/A
;DNAH9;#N/A
;MAST1;#N/A
;SYNGAP1;#N/A
;WNT9B;#N/A
;FOXD4;#N/A
;TAL1;x
;B4GALT7;#N/A
;COMMD4;#N/A
;WRAP73;#N/A
;SF3B4;#N/A
;ZWILCH;#N/A
;MSN;#N/A
;RYBP;x
;FOSL1;#N/A
;NAA10;#N/A
;FLAD1;#N/A
;DLG2;#N/A
;SH3GL2;#N/A
;COL4A5;#N/A
;MCM4;#N/A
;RPS6KA5;#N/A
;POLR2C;#N/A
;COPG1;#N/A
;CSN3;#N/A
;POLR2F;#N/A
;FBXL19;#N/A
;ATAD3A;#N/A
;CACYBP;#N/A
;RPS6KA6;#N/A
;RAD9A;#N/A
;MCM10;#N/A
;IFNAR1;#N/A
;PFDN2;#N/A
;RPN1;#N/A
;CDH5;#N/A
;GALT;#N/A
;VPS37C;#N/A
;GPRC5A;#N/A
;HSPG2;#N/A
;TP53BP2;#N/A
;RAD51D;x
;RRAS;x
;TMX4;#N/A
;SKA3;#N/A
;ZNF446;#N/A
;RRS1;#N/A
;PIP4K2B;#N/A
;HJURP;#N/A
;RARG;#N/A
;TMEM132A;#N/A
;RNF111;#N/A
;MAX;x
;COMTD1;#N/A
;CKAP5;#N/A
;POLR2J;#N/A
;DARS2;#N/A
;HMGB3;#N/A
;LIFR;#N/A
;LSM7;#N/A
;KIF2C;#N/A
;POLR2B;#N/A
;KNSTRN;#N/A
;PTPRO;#N/A
;INTS7;#N/A
;CDK7;#N/A
;GRB7;x
;TOMM40;#N/A
;WDR76;#N/A
;RRP12;#N/A
;DDX41;x
;ANKRD13D;#N/A
;CCNF;#N/A
;SLC27A4;#N/A
;INSRR;#N/A
;ACTL8;#N/A
;S1PR3;#N/A
;TJP2;#N/A
;BRPF1;#N/A
;DLK1;#N/A
;DUSP5;#N/A
;COG2;#N/A
;CISD2;#N/A
;ULK1;#N/A
;N4BP2L2;#N/A
;ANK1;#N/A
;NOP56;#N/A
;CYP1B1;#N/A
;SIPA1L3;#N/A
;PIK3R4;#N/A
;TAF1L;#N/A
;NUF2;x
;LPP;#N/A
;VCAN;#N/A
;RAB33A;#N/A
;IL12A;#N/A
;POLR2D;#N/A
;HM13;#N/A
;ZIC2;#N/A
;TPRN;#N/A
;CCL5;#N/A
;CPS1;#N/A
;USP25;#N/A
;IL1RL1;#N/A
;SERPINC1;#N/A
;TBC1D10B;#N/A
;BASP1;#N/A
;TAB2;#N/A
;UBAP2L;#N/A
;MAGI3;#N/A
;GATA2;x
;MPDZ;#N/A
;GTF2F2;#N/A
;NDUFA2;#N/A
;IFNB1;#N/A
;FLNB;#N/A
;C9orf72;#N/A
;FLI1;x
;CIP2A;#N/A
;TFDP1;#N/A
;TBL3;#N/A
;CGN;#N/A
;NR5A1;#N/A
;SMAD6;#N/A
;SNRPC;#N/A
;BDNF;#N/A
;NR1I3;#N/A
;TAF15;#N/A
;MATK;#N/A
;ZFP36;#N/A
;SMYD2;#N/A
;SALL4;#N/A
;POU4F1;#N/A
;BIRC2;#N/A
;WWP1;x
;DNAJB11;#N/A
;POLR2I;#N/A
;MAP3K1;x
;NAXE;#N/A
;TOPBP1;#N/A
;GFRA4;#N/A
;PSPN;#N/A
;CD40;#N/A
;SNAI1;#N/A
;NRTN;#N/A
;ZBTB17;#N/A
;JUP;#N/A
;FZD9;#N/A
;FKBP10;#N/A
;MARK2;#N/A
;CNOT8;#N/A
;MKNK2;#N/A
;POU4F2;#N/A
;ZBTB20;x
;KIF24;#N/A
;VWF;#N/A
;GFRA1;#N/A
;POLR2K;#N/A
;EPHA2;#N/A
;LANCL2;#N/A
;JMY;#N/A
;RDX;#N/A
;MAGI1;#N/A
;CAPN1;#N/A
;KDM2B;#N/A
;EBP;#N/A
;RRAS2;x
;CLTC;#N/A
;IL33;#N/A
;SDC1;#N/A
;TRAPPC5;#N/A
;DDX58;#N/A
;IPO9;#N/A
;ARHGAP21;#N/A
;MED30;#N/A
;ZNF365;#N/A
;CBS;#N/A
;AP2S1;#N/A
;SAE1;#N/A
;CD9;#N/A
;TRAF1;#N/A
;HNRNPF;#N/A
;YAF2;#N/A
;GNAO1;#N/A
;NR1H4;#N/A
;MED23;#N/A
;NAT14;#N/A
;UCHL5;#N/A
;PTGES2;#N/A
;CDK12;x
;GFRA2;#N/A
;CDCA8;#N/A
;HNRNPK;#N/A
;UNC5B;#N/A
;WDFY2;#N/A
;PTPRN;#N/A
;TEAD4;#N/A
;MICALL2;#N/A
;TCF12;#N/A
;BTG2;x
;DAPK3;#N/A
;DDX39A;#N/A
;MIS18A;#N/A
;RNF2;#N/A
;CD81;#N/A
;COL1A2;#N/A
;POMC;#N/A
;PIP4K2A;#N/A
;RPL26L1;#N/A
;CNOT6L;#N/A
;STIP1;#N/A
;CLASP1;#N/A
;POLR2L;#N/A
;PTH1R;#N/A
;SPTBN2;#N/A
;ACVR2A;x
;SSTR3;#N/A
;RNF185;#N/A
;LDHB;#N/A
;PLAU;#N/A
;HSPA8;#N/A
;JMJD6;#N/A
;TLN1;#N/A
;CER1;#N/A
;FBXL6;#N/A
;SH2B3;x
;HLA-G;#N/A
;CDC5L;#N/A
;SPDL1;#N/A
;DNAJA3;#N/A
;RUVBL1;#N/A
;RHOT2;#N/A
;SPINT2;#N/A
;CNOT6;#N/A
;GTF2IRD1;#N/A
;PEA15;#N/A
;GPRIN1;#N/A
;SPHK1;#N/A
;PPP2R3B;#N/A
;EIF4E;x
;ARHGAP23;#N/A
;CD274;x
;MYH9;#N/A
;CDC25B;#N/A
;RAB8A;#N/A
;SOCS3;x
;ARHGEF4;#N/A
;FLNA;#N/A
;CDK13;#N/A
;KEAP1;x
;CA14;#N/A
;COL5A1;#N/A
;ADAM10;#N/A
;SLC25A10;#N/A
;RIBC2;#N/A
;ESRRB;#N/A
;ITGA3;#N/A
;COMMD3;#N/A
;ZFHX3;x
;AFDN;x
;XRCC6;#N/A
;DAPK2;#N/A
;ITCH;#N/A
;DPCD;#N/A
;TCIRG1;#N/A
;SPTB;#N/A
;PF4;#N/A
;RNF41;#N/A
;TMCC2;#N/A
;COMP;#N/A
;ESRP2;#N/A
;PCSK9;#N/A
;LYL1;#N/A
;INPP5D;#N/A
;CEP85;#N/A
;RB1CC1;#N/A
;NEFL;#N/A
;UBE2F;#N/A
;GATAD2B;#N/A
;CCDC40;#N/A
;POLR1G;#N/A
;HDAC11;#N/A
;DPP3;#N/A
;CHRM4;#N/A
;HTR1A;#N/A
;PVRIG;#N/A
;ARHGEF11;#N/A
;GEMIN6;#N/A
;SMC4;#N/A
;SMARCA5;#N/A
;OPRM1;#N/A
;MUCL1;#N/A
;CTNNA1;x
;IL4R;#N/A
;ITK;#N/A
;HLA-F;#N/A
;RECQL4;x
;RALY;#N/A
;MCM6;#N/A
;SCNM1;#N/A
;PPAN;#N/A
;CENPK;#N/A
;CD59;#N/A
;ARPC3;#N/A
;ITGA4;#N/A
;XPO1;x
;IFNAR2;#N/A
;PTPRA;#N/A
;CBX5;#N/A
;ZC3H3;#N/A
;SMO;x
;NAP1L1;#N/A
;CITED4;#N/A
;TRIM25;#N/A
;PRCC;x
;SLC39A3;#N/A
